#WindowWidth (s)	Efficiency
0.4	0.0416667
0.8	0.0541667
1.2	0.0708333
1.6	0.0666667
2	0.0708333
2.4	0.0708333
2.8	0.0791667
3.2	0.0625
3.6	0.0666667
4	0.0666667
4.4	0.0791667
4.8	0.0791667
5.2	0.0833333
5.6	0.0875
6	0.1
6.4	0.0916667
6.8	0.0916667
7.2	0.0958333
7.6	0.104167
8	0.0958333
8.4	0.104167
8.8	0.0916667
9.2	0.0875
9.6	0.0708333
10	0.075
10.4	0.075
10.8	0.0708333
11.2	0.075
11.6	0.0875
12	0.0833333
12.4	0.1
12.8	0.0958333
13.2	0.104167
13.6	0.1
14	0.1
14.4	0.0958333
14.8	0.1125
15.2	0.116667
15.6	0.125
16	0.129167
16.4	0.141667
16.8	0.129167
17.2	0.129167
17.6	0.108333
18	0.116667
18.4	0.1125
18.8	0.116667
19.2	0.129167
19.6	0.145833
20	0.1375
20.4	0.154167
20.8	0.145833
21.2	0.145833
21.6	0.15
22	0.15
22.4	0.158333
22.8	0.1625
23.2	0.170833
23.6	0.175
24	0.175
24.4	0.179167
24.8	0.170833
25.2	0.170833
25.6	0.175
26	0.175
26.4	0.175
26.8	0.154167
27.2	0.141667
27.6	0.1625
28	0.141667
28.4	0.145833
28.8	0.145833
29.2	0.15
29.6	0.15
30	0.154167
30.4	0.1625
30.8	0.166667
31.2	0.183333
31.6	0.183333
32	0.195833
32.4	0.191667
32.8	0.2
33.2	0.2
33.6	0.191667
34	0.2
34.4	0.2125
34.8	0.208333
35.2	0.2125
35.6	0.208333
36	0.204167
36.4	0.2125
36.8	0.2
37.2	0.195833
37.6	0.195833
38	0.204167
38.4	0.195833
38.8	0.208333
39.2	0.1875
39.6	0.195833
40	0.195833
40.4	0.195833
40.8	0.2125
41.2	0.208333
41.6	0.2125
42	0.216667
42.4	0.220833
42.8	0.225
43.2	0.229167
43.6	0.233333
44	0.2375
44.4	0.245833
44.8	0.25
45.2	0.25
45.6	0.258333
46	0.258333
46.4	0.258333
46.8	0.266667
47.2	0.270833
47.6	0.279167
48	0.3
