#WindowWidth (s)	Efficiency
0.4	0.0625
0.8	0.1
1.2	0.08125
1.6	0.1125
2	0.1
2.4	0.1125
2.8	0.11875
3.2	0.125
3.6	0.14375
4	0.13125
4.4	0.16875
4.8	0.16875
5.2	0.23125
5.6	0.25625
6	0.3125
6.4	0.3375
6.8	0.35625
7.2	0.3875
7.6	0.3875
8	0.4375
8.4	0.43125
8.8	0.46875
9.2	0.46875
9.6	0.4875
10	0.5
10.4	0.50625
10.8	0.53125
11.2	0.5125
11.6	0.5375
12	0.53125
12.4	0.55625
12.8	0.53125
13.2	0.5625
13.6	0.55625
14	0.56875
14.4	0.5625
14.8	0.5875
15.2	0.56875
15.6	0.5875
16	0.5875
16.4	0.6125
16.8	0.6125
17.2	0.63125
17.6	0.625
18	0.61875
18.4	0.6375
18.8	0.6375
19.2	0.65
19.6	0.6625
20	0.66875
20.4	0.675
20.8	0.675
21.2	0.675
21.6	0.675
22	0.68125
22.4	0.66875
22.8	0.65
23.2	0.66875
23.6	0.6625
24	0.675
24.4	0.68125
24.8	0.6875
25.2	0.69375
25.6	0.69375
26	0.70625
26.4	0.7
26.8	0.70625
27.2	0.70625
27.6	0.70625
28	0.7125
28.4	0.71875
28.8	0.73125
29.2	0.7375
29.6	0.73125
30	0.74375
30.4	0.75
30.8	0.7625
31.2	0.7625
31.6	0.76875
32	0.78125
32.4	0.7875
32.8	0.8
33.2	0.8125
33.6	0.81875
34	0.825
34.4	0.81875
34.8	0.8125
35.2	0.79375
35.6	0.8125
36	0.8125
36.4	0.81875
36.8	0.8375
37.2	0.8375
37.6	0.84375
38	0.825
38.4	0.8375
38.8	0.84375
39.2	0.85625
39.6	0.85625
40	0.875
40.4	0.88125
40.8	0.875
41.2	0.875
41.6	0.88125
42	0.88125
42.4	0.8875
42.8	0.8875
43.2	0.89375
43.6	0.8875
44	0.8875
44.4	0.8875
44.8	0.8875
45.2	0.8875
45.6	0.8875
46	0.88125
46.4	0.89375
46.8	0.88125
47.2	0.8875
47.6	0.86875
48	0.88125
