#WindowWidth (s)	Efficiency
0.4	0.0625
0.8	0.05
1.2	0.04375
1.6	0.05625
2	0.08125
2.4	0.09375
2.8	0.09375
3.2	0.1
3.6	0.1125
4	0.125
4.4	0.1375
4.8	0.15625
5.2	0.1875
5.6	0.18125
6	0.23125
6.4	0.23125
6.8	0.24375
7.2	0.2625
7.6	0.29375
8	0.3
8.4	0.34375
8.8	0.35
9.2	0.375
9.6	0.3875
10	0.4
10.4	0.39375
10.8	0.40625
11.2	0.425
11.6	0.425
12	0.43125
12.4	0.44375
12.8	0.4375
13.2	0.44375
13.6	0.45
14	0.45
14.4	0.46875
14.8	0.4625
15.2	0.4625
15.6	0.475
16	0.475
16.4	0.49375
16.8	0.49375
17.2	0.50625
17.6	0.5
18	0.51875
18.4	0.525
18.8	0.53125
19.2	0.54375
19.6	0.55625
20	0.575
20.4	0.58125
20.8	0.575
21.2	0.56875
21.6	0.56875
22	0.56875
22.4	0.5625
22.8	0.5875
23.2	0.59375
23.6	0.5875
24	0.6125
24.4	0.625
24.8	0.6375
25.2	0.65
25.6	0.65625
26	0.64375
26.4	0.65625
26.8	0.6625
27.2	0.65625
27.6	0.6625
28	0.65625
28.4	0.6625
28.8	0.65625
29.2	0.65625
29.6	0.65625
30	0.675
30.4	0.6625
30.8	0.68125
31.2	0.66875
31.6	0.68125
32	0.675
32.4	0.66875
32.8	0.66875
33.2	0.68125
33.6	0.68125
34	0.68125
34.4	0.6875
34.8	0.69375
35.2	0.6875
35.6	0.68125
36	0.6875
36.4	0.68125
36.8	0.68125
37.2	0.6625
37.6	0.66875
38	0.6625
38.4	0.66875
38.8	0.66875
39.2	0.6625
39.6	0.675
40	0.66875
40.4	0.675
40.8	0.675
41.2	0.69375
41.6	0.6875
42	0.70625
42.4	0.70625
42.8	0.71875
43.2	0.7125
43.6	0.71875
44	0.70625
44.4	0.725
44.8	0.73125
45.2	0.7375
45.6	0.7375
46	0.74375
46.4	0.75
46.8	0.75
47.2	0.75
47.6	0.75
48	0.75
