#WindowWidth (s)	Efficiency
0.4	0.13125
0.8	0.15625
1.2	0.2375
1.6	0.25
2	0.29375
2.4	0.3
2.8	0.3125
3.2	0.29375
3.6	0.3125
4	0.31875
4.4	0.325
4.8	0.35625
5.2	0.40625
5.6	0.4125
6	0.4375
6.4	0.45
6.8	0.48125
7.2	0.4875
7.6	0.5125
8	0.54375
8.4	0.5375
8.8	0.55625
9.2	0.55
9.6	0.575
10	0.575
10.4	0.6
10.8	0.6
11.2	0.6125
11.6	0.65
12	0.675
12.4	0.68125
12.8	0.69375
13.2	0.69375
13.6	0.7125
14	0.73125
14.4	0.73125
14.8	0.725
15.2	0.7375
15.6	0.76875
16	0.775
16.4	0.8
16.8	0.825
17.2	0.8625
17.6	0.85625
18	0.85625
18.4	0.8625
18.8	0.84375
19.2	0.85
19.6	0.85625
20	0.875
20.4	0.8875
20.8	0.9125
21.2	0.9125
21.6	0.90625
22	0.91875
22.4	0.91875
22.8	0.94375
23.2	0.94375
23.6	0.96875
24	0.975
24.4	0.99375
24.8	0.9875
25.2	0.9875
25.6	0.9875
26	0.975
26.4	0.975
26.8	0.975
27.2	0.98125
27.6	0.99375
28	0.99375
28.4	1
28.8	1
29.2	1
29.6	1
30	1
30.4	1
30.8	0.99375
31.2	0.99375
31.6	0.99375
32	1
32.4	1
32.8	1
33.2	1
33.6	1
34	1
34.4	1
34.8	1
35.2	1
35.6	1
36	1
36.4	1
36.8	1
37.2	1
37.6	1
38	1
38.4	1
38.8	1
39.2	1
39.6	1
40	1
40.4	1
40.8	1
41.2	1
41.6	1
42	1
42.4	1
42.8	1
43.2	1
43.6	1
44	1
44.4	1
44.8	1
45.2	1
45.6	1
46	1
46.4	1
46.8	1
47.2	1
47.6	1
48	1
