#WindowWidth (s)	Efficiency
0.4	0.05
0.8	0.08125
1.2	0.075
1.6	0.075
2	0.05625
2.4	0.06875
2.8	0.08125
3.2	0.075
3.6	0.1125
4	0.11875
4.4	0.13125
4.8	0.1625
5.2	0.18125
5.6	0.18125
6	0.2
6.4	0.2125
6.8	0.225
7.2	0.2375
7.6	0.275
8	0.3
8.4	0.2875
8.8	0.3125
9.2	0.30625
9.6	0.3375
10	0.35
10.4	0.35625
10.8	0.375
11.2	0.3875
11.6	0.4
12	0.4125
12.4	0.41875
12.8	0.4375
13.2	0.45
13.6	0.45
14	0.4625
14.4	0.475
14.8	0.46875
15.2	0.475
15.6	0.49375
16	0.5
16.4	0.5125
16.8	0.5125
17.2	0.53125
17.6	0.53125
18	0.54375
18.4	0.55
18.8	0.5625
19.2	0.5625
19.6	0.58125
20	0.5875
20.4	0.6
20.8	0.6
21.2	0.61875
21.6	0.625
22	0.6375
22.4	0.6375
22.8	0.64375
23.2	0.65
23.6	0.65
24	0.65625
24.4	0.65625
24.8	0.6625
25.2	0.6625
25.6	0.6625
26	0.66875
26.4	0.66875
26.8	0.675
27.2	0.675
27.6	0.68125
28	0.68125
28.4	0.68125
28.8	0.6875
29.2	0.6875
29.6	0.69375
30	0.69375
30.4	0.7
30.8	0.70625
31.2	0.70625
31.6	0.7125
32	0.7125
32.4	0.71875
32.8	0.71875
33.2	0.725
33.6	0.725
34	0.73125
34.4	0.73125
34.8	0.7375
35.2	0.7375
35.6	0.74375
36	0.74375
36.4	0.74375
36.8	0.75
37.2	0.75
37.6	0.75625
38	0.75625
38.4	0.7625
38.8	0.7625
39.2	0.76875
39.6	0.76875
40	0.775
40.4	0.78125
40.8	0.78125
41.2	0.7875
41.6	0.7875
42	0.7875
42.4	0.79375
42.8	0.79375
43.2	0.8
43.6	0.8
44	0.80625
44.4	0.80625
44.8	0.80625
45.2	0.80625
45.6	0.80625
46	0.80625
46.4	0.8125
46.8	0.81875
47.2	0.81875
47.6	0.83125
48	0.8375
