#WindowWidth (s)	Efficiency
0.4	0.0458333
0.8	0.075
1.2	0.0791667
1.6	0.0666667
2	0.0875
2.4	0.0833333
2.8	0.0958333
3.2	0.108333
3.6	0.108333
4	0.1
4.4	0.129167
4.8	0.133333
5.2	0.154167
5.6	0.15
6	0.179167
6.4	0.179167
6.8	0.191667
7.2	0.1875
7.6	0.195833
8	0.191667
8.4	0.191667
8.8	0.2
9.2	0.208333
9.6	0.2125
10	0.216667
10.4	0.225
10.8	0.220833
11.2	0.208333
11.6	0.2
12	0.216667
12.4	0.216667
12.8	0.216667
13.2	0.220833
13.6	0.225
14	0.233333
14.4	0.233333
14.8	0.229167
15.2	0.229167
15.6	0.241667
16	0.241667
16.4	0.241667
16.8	0.241667
17.2	0.254167
17.6	0.2625
18	0.2625
18.4	0.245833
18.8	0.241667
19.2	0.225
19.6	0.25
20	0.254167
20.4	0.266667
20.8	0.2625
21.2	0.275
21.6	0.283333
22	0.2875
22.4	0.304167
22.8	0.308333
23.2	0.316667
23.6	0.325
24	0.325
24.4	0.329167
24.8	0.329167
25.2	0.341667
25.6	0.341667
26	0.345833
26.4	0.345833
26.8	0.345833
27.2	0.345833
27.6	0.35
28	0.358333
28.4	0.3625
28.8	0.345833
29.2	0.354167
29.6	0.354167
30	0.354167
30.4	0.3625
30.8	0.358333
31.2	0.3625
31.6	0.370833
32	0.379167
32.4	0.379167
32.8	0.383333
33.2	0.383333
33.6	0.395833
34	0.379167
34.4	0.383333
34.8	0.375
35.2	0.375
35.6	0.379167
36	0.3875
36.4	0.3875
36.8	0.379167
37.2	0.375
37.6	0.383333
38	0.395833
38.4	0.383333
38.8	0.395833
39.2	0.391667
39.6	0.391667
40	0.3875
40.4	0.4
40.8	0.391667
41.2	0.391667
41.6	0.391667
42	0.395833
42.4	0.391667
42.8	0.4
43.2	0.383333
43.6	0.3875
44	0.379167
44.4	0.375
44.8	0.375
45.2	0.375
45.6	0.370833
46	0.370833
46.4	0.375
46.8	0.375
47.2	0.379167
47.6	0.383333
48	0.3875
