#WindowWidth (s)	Efficiency
0.4	0.05
0.8	0.08125
1.2	0.0875
1.6	0.05625
2	0.075
2.4	0.0875
2.8	0.09375
3.2	0.09375
3.6	0.1125
4	0.13125
4.4	0.1375
4.8	0.15625
5.2	0.16875
5.6	0.18125
6	0.2125
6.4	0.23125
6.8	0.225
7.2	0.25
7.6	0.26875
8	0.2875
8.4	0.3125
8.8	0.325
9.2	0.3375
9.6	0.3625
10	0.3875
10.4	0.375
10.8	0.3875
11.2	0.4
11.6	0.41875
12	0.41875
12.4	0.44375
12.8	0.44375
13.2	0.45
13.6	0.45625
14	0.45625
14.4	0.4625
14.8	0.475
15.2	0.475
15.6	0.49375
16	0.5
16.4	0.50625
16.8	0.5125
17.2	0.5125
17.6	0.53125
18	0.53125
18.4	0.5375
18.8	0.54375
19.2	0.55
19.6	0.55625
20	0.56875
20.4	0.58125
20.8	0.575
21.2	0.5875
21.6	0.6
22	0.60625
22.4	0.61875
22.8	0.63125
23.2	0.6375
23.6	0.64375
24	0.64375
24.4	0.64375
24.8	0.64375
25.2	0.64375
25.6	0.63125
26	0.63125
26.4	0.625
26.8	0.60625
27.2	0.6125
27.6	0.6125
28	0.6125
28.4	0.61875
28.8	0.61875
29.2	0.6125
29.6	0.61875
30	0.6125
30.4	0.63125
30.8	0.64375
31.2	0.63125
31.6	0.64375
32	0.65625
32.4	0.65625
32.8	0.6625
33.2	0.68125
33.6	0.6875
34	0.66875
34.4	0.68125
34.8	0.6875
35.2	0.68125
35.6	0.675
36	0.6875
36.4	0.6875
36.8	0.70625
37.2	0.7125
37.6	0.73125
38	0.7375
38.4	0.7375
38.8	0.74375
39.2	0.7375
39.6	0.74375
40	0.75
40.4	0.75
40.8	0.76875
41.2	0.76875
41.6	0.78125
42	0.79375
42.4	0.7875
42.8	0.7875
43.2	0.7875
43.6	0.8
44	0.8
44.4	0.80625
44.8	0.8
45.2	0.80625
45.6	0.80625
46	0.80625
46.4	0.81875
46.8	0.81875
47.2	0.825
47.6	0.83125
48	0.825
