#WindowWidth (s)	Efficiency
0.4	0.0375
0.8	0.04375
1.2	0.0375
1.6	0.03125
2	0.01875
2.4	0.01875
2.8	0.025
3.2	0.025
3.6	0.01875
4	0.025
4.4	0.0375
4.8	0.06875
5.2	0.0625
5.6	0.08125
6	0.1
6.4	0.10625
6.8	0.13125
7.2	0.15
7.6	0.1625
8	0.1875
8.4	0.1875
8.8	0.23125
9.2	0.225
9.6	0.24375
10	0.24375
10.4	0.2625
10.8	0.25625
11.2	0.2625
11.6	0.28125
12	0.2875
12.4	0.30625
12.8	0.31875
13.2	0.33125
13.6	0.3625
14	0.3875
14.4	0.40625
14.8	0.4125
15.2	0.41875
15.6	0.4375
16	0.44375
16.4	0.45625
16.8	0.4625
17.2	0.475
17.6	0.48125
18	0.49375
18.4	0.49375
18.8	0.5125
19.2	0.5125
19.6	0.51875
20	0.525
20.4	0.5375
20.8	0.5375
21.2	0.5375
21.6	0.55
22	0.54375
22.4	0.55625
22.8	0.55625
23.2	0.5625
23.6	0.58125
24	0.59375
24.4	0.59375
24.8	0.625
25.2	0.63125
25.6	0.63125
26	0.6375
26.4	0.64375
26.8	0.65625
27.2	0.6625
27.6	0.68125
28	0.6875
28.4	0.6875
28.8	0.68125
29.2	0.69375
29.6	0.69375
30	0.70625
30.4	0.71875
30.8	0.725
31.2	0.74375
31.6	0.7625
32	0.7875
32.4	0.8
32.8	0.80625
33.2	0.8125
33.6	0.81875
34	0.8375
34.4	0.83125
34.8	0.84375
35.2	0.86875
35.6	0.88125
36	0.86875
36.4	0.8875
36.8	0.89375
37.2	0.9
37.6	0.90625
38	0.9125
38.4	0.91875
38.8	0.91875
39.2	0.925
39.6	0.925
40	0.93125
40.4	0.93125
40.8	0.9375
41.2	0.94375
41.6	0.94375
42	0.95
42.4	0.95
42.8	0.95625
43.2	0.95625
43.6	0.9625
44	0.9625
44.4	0.96875
44.8	0.96875
45.2	0.975
45.6	0.975
46	0.98125
46.4	0.9875
46.8	1
47.2	1
47.6	1
48	1
