#WindowWidth (s)	Efficiency
0.4	0.04375
0.8	0.05
1.2	0.05
1.6	0.05
2	0.05625
2.4	0.0625
2.8	0.075
3.2	0.06875
3.6	0.08125
4	0.1
4.4	0.10625
4.8	0.125
5.2	0.13125
5.6	0.1375
6	0.15625
6.4	0.1625
6.8	0.1875
7.2	0.2125
7.6	0.23125
8	0.26875
8.4	0.28125
8.8	0.29375
9.2	0.29375
9.6	0.29375
10	0.30625
10.4	0.325
10.8	0.325
11.2	0.3375
11.6	0.3375
12	0.33125
12.4	0.31875
12.8	0.33125
13.2	0.33125
13.6	0.33125
14	0.33125
14.4	0.34375
14.8	0.34375
15.2	0.34375
15.6	0.35625
16	0.35625
16.4	0.36875
16.8	0.36875
17.2	0.38125
17.6	0.38125
18	0.3875
18.4	0.39375
18.8	0.4
19.2	0.40625
19.6	0.4125
20	0.41875
20.4	0.425
20.8	0.43125
21.2	0.4375
21.6	0.44375
22	0.45
22.4	0.45625
22.8	0.45625
23.2	0.46875
23.6	0.475
24	0.48125
24.4	0.4875
24.8	0.4875
25.2	0.5
25.6	0.50625
26	0.5125
26.4	0.51875
26.8	0.525
27.2	0.53125
27.6	0.5375
28	0.54375
28.4	0.55
28.8	0.55
29.2	0.5625
29.6	0.56875
30	0.575
30.4	0.58125
30.8	0.58125
31.2	0.59375
31.6	0.6
32	0.60625
32.4	0.6125
32.8	0.61875
33.2	0.625
33.6	0.63125
34	0.6375
34.4	0.64375
34.8	0.65
35.2	0.65625
35.6	0.65625
36	0.66875
36.4	0.66875
36.8	0.68125
37.2	0.68125
37.6	0.69375
38	0.7
38.4	0.70625
38.8	0.7125
39.2	0.71875
39.6	0.725
40	0.725
40.4	0.7375
40.8	0.7375
41.2	0.75
41.6	0.75
42	0.7625
42.4	0.76875
42.8	0.775
43.2	0.775
43.6	0.7875
44	0.7875
44.4	0.8
44.8	0.8
45.2	0.80625
45.6	0.8125
46	0.81875
46.4	0.83125
46.8	0.8375
47.2	0.84375
47.6	0.84375
48	0.85
