#WindowWidth (s)	Efficiency
0.4	0.05
0.8	0.03125
1.2	0.04375
1.6	0.06875
2	0.075
2.4	0.1125
2.8	0.1125
3.2	0.11875
3.6	0.15
4	0.14375
4.4	0.16875
4.8	0.20625
5.2	0.2375
5.6	0.25625
6	0.275
6.4	0.2875
6.8	0.31875
7.2	0.33125
7.6	0.33125
8	0.3625
8.4	0.375
8.8	0.38125
9.2	0.38125
9.6	0.4
10	0.40625
10.4	0.425
10.8	0.425
11.2	0.4375
11.6	0.4375
12	0.45
12.4	0.4625
12.8	0.475
13.2	0.475
13.6	0.49375
14	0.49375
14.4	0.5125
14.8	0.5125
15.2	0.525
15.6	0.525
16	0.5375
16.4	0.54375
16.8	0.55625
17.2	0.55625
17.6	0.56875
18	0.575
18.4	0.58125
18.8	0.59375
19.2	0.6
19.6	0.6125
20	0.61875
20.4	0.63125
20.8	0.63125
21.2	0.64375
21.6	0.65
22	0.65625
22.4	0.65625
22.8	0.65625
23.2	0.6625
23.6	0.66875
24	0.66875
24.4	0.675
24.8	0.68125
25.2	0.68125
25.6	0.6875
26	0.6875
26.4	0.69375
26.8	0.69375
27.2	0.69375
27.6	0.675
28	0.675
28.4	0.65
28.8	0.6125
29.2	0.6
29.6	0.6125
30	0.6125
30.4	0.6
30.8	0.61875
31.2	0.61875
31.6	0.625
32	0.625
32.4	0.63125
32.8	0.63125
33.2	0.64375
33.6	0.64375
34	0.65625
34.4	0.65625
34.8	0.65625
35.2	0.6625
35.6	0.66875
36	0.68125
36.4	0.68125
36.8	0.69375
37.2	0.7
37.6	0.7
38	0.7125
38.4	0.71875
38.8	0.71875
39.2	0.725
39.6	0.725
40	0.73125
40.4	0.7375
40.8	0.74375
41.2	0.75
41.6	0.75625
42	0.75625
42.4	0.76875
42.8	0.76875
43.2	0.78125
43.6	0.78125
44	0.79375
44.4	0.79375
44.8	0.8
45.2	0.80625
45.6	0.80625
46	0.8125
46.4	0.81875
46.8	0.84375
47.2	0.84375
47.6	0.85
48	0.85
