#WindowWidth (s)	Efficiency
0.4	0.05
0.8	0.03125
1.2	0.0625
1.6	0.05
2	0.05625
2.4	0.0625
2.8	0.075
3.2	0.0875
3.6	0.1125
4	0.125
4.4	0.13125
4.8	0.1625
5.2	0.18125
5.6	0.20625
6	0.225
6.4	0.2375
6.8	0.24375
7.2	0.2625
7.6	0.275
8	0.3
8.4	0.325
8.8	0.3375
9.2	0.35
9.6	0.375
10	0.40625
10.4	0.40625
10.8	0.40625
11.2	0.4125
11.6	0.43125
12	0.4375
12.4	0.4375
12.8	0.44375
13.2	0.45
13.6	0.4625
14	0.45
14.4	0.46875
14.8	0.48125
15.2	0.49375
15.6	0.5
16	0.50625
16.4	0.50625
16.8	0.51875
17.2	0.53125
17.6	0.5375
18	0.55
18.4	0.55
18.8	0.575
19.2	0.58125
19.6	0.59375
20	0.6
20.4	0.60625
20.8	0.63125
21.2	0.63125
21.6	0.65
22	0.65625
22.4	0.64375
22.8	0.63125
23.2	0.6125
23.6	0.5875
24	0.5625
24.4	0.5625
24.8	0.56875
25.2	0.56875
25.6	0.55
26	0.55625
26.4	0.5375
26.8	0.54375
27.2	0.54375
27.6	0.55625
28	0.55625
28.4	0.5625
28.8	0.58125
29.2	0.59375
29.6	0.6
30	0.6125
30.4	0.61875
30.8	0.63125
31.2	0.6375
31.6	0.64375
32	0.6375
32.4	0.64375
32.8	0.65
33.2	0.64375
33.6	0.64375
34	0.64375
34.4	0.65625
34.8	0.6625
35.2	0.66875
35.6	0.66875
36	0.675
36.4	0.68125
36.8	0.6875
37.2	0.69375
37.6	0.7
38	0.7
38.4	0.7125
38.8	0.71875
39.2	0.725
39.6	0.725
40	0.7375
40.4	0.7375
40.8	0.75
41.2	0.75
41.6	0.75
42	0.7625
42.4	0.75625
42.8	0.75
43.2	0.74375
43.6	0.74375
44	0.74375
44.4	0.74375
44.8	0.74375
45.2	0.74375
45.6	0.75
46	0.7625
46.4	0.75625
46.8	0.7875
47.2	0.775
47.6	0.7875
48	0.79375
