#WindowWidth (s)	Efficiency
0.4	0.11875
0.8	0.20625
1.2	0.2
1.6	0.225
2	0.2
2.4	0.23125
2.8	0.20625
3.2	0.19375
3.6	0.19375
4	0.20625
4.4	0.2
4.8	0.23125
5.2	0.24375
5.6	0.26875
6	0.28125
6.4	0.3125
6.8	0.35
7.2	0.34375
7.6	0.35
8	0.3375
8.4	0.35
8.8	0.3625
9.2	0.35625
9.6	0.38125
10	0.375
10.4	0.38125
10.8	0.4
11.2	0.39375
11.6	0.40625
12	0.41875
12.4	0.4125
12.8	0.41875
13.2	0.41875
13.6	0.43125
14	0.45
14.4	0.45625
14.8	0.45625
15.2	0.48125
15.6	0.4875
16	0.51875
16.4	0.51875
16.8	0.53125
17.2	0.5375
17.6	0.54375
18	0.55
18.4	0.56875
18.8	0.575
19.2	0.59375
19.6	0.59375
20	0.60625
20.4	0.61875
20.8	0.63125
21.2	0.64375
21.6	0.64375
22	0.65
22.4	0.65
22.8	0.65625
23.2	0.65625
23.6	0.6625
24	0.6625
24.4	0.66875
24.8	0.675
25.2	0.675
25.6	0.675
26	0.68125
26.4	0.68125
26.8	0.6875
27.2	0.6875
27.6	0.6875
28	0.69375
28.4	0.69375
28.8	0.7
29.2	0.7
29.6	0.70625
30	0.70625
30.4	0.70625
30.8	0.7125
31.2	0.7125
31.6	0.71875
32	0.71875
32.4	0.725
32.8	0.725
33.2	0.73125
33.6	0.73125
34	0.7375
34.4	0.7375
34.8	0.74375
35.2	0.74375
35.6	0.75
36	0.75
36.4	0.75625
36.8	0.75625
37.2	0.7625
37.6	0.7625
38	0.76875
38.4	0.76875
38.8	0.78125
39.2	0.78125
39.6	0.7875
40	0.7875
40.4	0.79375
40.8	0.79375
41.2	0.8
41.6	0.8
42	0.8
42.4	0.8
42.8	0.8
43.2	0.80625
43.6	0.80625
44	0.8125
44.4	0.80625
44.8	0.8125
45.2	0.8125
45.6	0.8125
46	0.81875
46.4	0.81875
46.8	0.83125
47.2	0.83125
47.6	0.8375
48	0.84375
