#WindowWidth (s)	Efficiency
0.4	0.05
0.8	0.0375
1.2	0.0125
1.6	0.0125
2	0.0125
2.4	0.00625
2.8	0.01875
3.2	0.01875
3.6	0.03125
4	0.04375
4.4	0.04375
4.8	0.05625
5.2	0.0625
5.6	0.08125
6	0.0875
6.4	0.1125
6.8	0.1125
7.2	0.1375
7.6	0.14375
8	0.1625
8.4	0.19375
8.8	0.19375
9.2	0.20625
9.6	0.2125
10	0.2125
10.4	0.21875
10.8	0.2375
11.2	0.24375
11.6	0.24375
12	0.275
12.4	0.29375
12.8	0.33125
13.2	0.34375
13.6	0.35625
14	0.375
14.4	0.3875
14.8	0.40625
15.2	0.40625
15.6	0.41875
16	0.425
16.4	0.4375
16.8	0.4625
17.2	0.475
17.6	0.4625
18	0.4875
18.4	0.49375
18.8	0.5125
19.2	0.5125
19.6	0.50625
20	0.5125
20.4	0.5125
20.8	0.53125
21.2	0.54375
21.6	0.58125
22	0.58125
22.4	0.5875
22.8	0.60625
23.2	0.61875
23.6	0.6
24	0.61875
24.4	0.625
24.8	0.625
25.2	0.625
25.6	0.61875
26	0.61875
26.4	0.60625
26.8	0.60625
27.2	0.58125
27.6	0.6
28	0.5875
28.4	0.6
28.8	0.59375
29.2	0.575
29.6	0.6125
30	0.59375
30.4	0.6
30.8	0.6125
31.2	0.61875
31.6	0.6375
32	0.6375
32.4	0.65625
32.8	0.65625
33.2	0.66875
33.6	0.6625
34	0.675
34.4	0.68125
34.8	0.7
35.2	0.70625
35.6	0.71875
36	0.71875
36.4	0.725
36.8	0.73125
37.2	0.7375
37.6	0.74375
38	0.74375
38.4	0.75625
38.8	0.75
39.2	0.7625
39.6	0.7625
40	0.76875
40.4	0.76875
40.8	0.775
41.2	0.78125
41.6	0.78125
42	0.7875
42.4	0.78125
42.8	0.7875
43.2	0.78125
43.6	0.79375
44	0.79375
44.4	0.8
44.8	0.8125
45.2	0.81875
45.6	0.825
46	0.83125
46.4	0.8375
46.8	0.8375
47.2	0.84375
47.6	0.84375
48	0.85
