#WindowWidth (s)	Efficiency
0.4	0.05
0.8	0.025
1.2	0.0375
1.6	0.04375
2	0.0375
2.4	0.0375
2.8	0.0375
3.2	0.0375
3.6	0.05
4	0.0375
4.4	0.05625
4.8	0.0625
5.2	0.08125
5.6	0.09375
6	0.09375
6.4	0.10625
6.8	0.1125
7.2	0.125
7.6	0.1375
8	0.15625
8.4	0.18125
8.8	0.19375
9.2	0.19375
9.6	0.2
10	0.20625
10.4	0.2125
10.8	0.23125
11.2	0.25
11.6	0.25
12	0.2625
12.4	0.2875
12.8	0.30625
13.2	0.31875
13.6	0.33125
14	0.33125
14.4	0.3375
14.8	0.34375
15.2	0.34375
15.6	0.35625
16	0.35625
16.4	0.3625
16.8	0.375
17.2	0.38125
17.6	0.3875
18	0.39375
18.4	0.39375
18.8	0.4
19.2	0.4125
19.6	0.40625
20	0.4125
20.4	0.41875
20.8	0.425
21.2	0.43125
21.6	0.4375
22	0.44375
22.4	0.45
22.8	0.4625
23.2	0.46875
23.6	0.475
24	0.4875
24.4	0.5
24.8	0.49375
25.2	0.5
25.6	0.5
26	0.50625
26.4	0.5125
26.8	0.51875
27.2	0.525
27.6	0.53125
28	0.5375
28.4	0.54375
28.8	0.55
29.2	0.55625
29.6	0.5625
30	0.5625
30.4	0.5625
30.8	0.575
31.2	0.575
31.6	0.5875
32	0.5875
32.4	0.6
32.8	0.6
33.2	0.6125
33.6	0.6125
34	0.625
34.4	0.625
34.8	0.6375
35.2	0.6375
35.6	0.65
36	0.65
36.4	0.6625
36.8	0.675
37.2	0.6875
37.6	0.6875
38	0.6875
38.4	0.7
38.8	0.70625
39.2	0.7125
39.6	0.7125
40	0.725
40.4	0.73125
40.8	0.73125
41.2	0.7375
41.6	0.74375
42	0.74375
42.4	0.75625
42.8	0.7625
43.2	0.76875
43.6	0.76875
44	0.78125
44.4	0.78125
44.8	0.79375
45.2	0.80625
45.6	0.81875
46	0.81875
46.4	0.825
46.8	0.825
47.2	0.83125
47.6	0.83125
48	0.8375
