#WindowWidth (s)	Efficiency
0.4	0.0375
0.8	0.01875
1.2	0.025
1.6	0.04375
2	0.05625
2.4	0.0625
2.8	0.06875
3.2	0.06875
3.6	0.08125
4	0.0875
4.4	0.1
4.8	0.125
5.2	0.14375
5.6	0.16875
6	0.2
6.4	0.19375
6.8	0.21875
7.2	0.23125
7.6	0.26875
8	0.275
8.4	0.30625
8.8	0.33125
9.2	0.35625
9.6	0.3625
10	0.3875
10.4	0.38125
10.8	0.4
11.2	0.4
11.6	0.43125
12	0.425
12.4	0.4375
12.8	0.44375
13.2	0.45
13.6	0.45
14	0.475
14.4	0.46875
14.8	0.48125
15.2	0.4875
15.6	0.5
16	0.50625
16.4	0.51875
16.8	0.51875
17.2	0.5375
17.6	0.5375
18	0.54375
18.4	0.55625
18.8	0.55625
19.2	0.575
19.6	0.575
20	0.59375
20.4	0.6
20.8	0.6125
21.2	0.61875
21.6	0.6375
22	0.6375
22.4	0.6375
22.8	0.6375
23.2	0.64375
23.6	0.64375
24	0.65
24.4	0.64375
24.8	0.65
25.2	0.6625
25.6	0.66875
26	0.66875
26.4	0.675
26.8	0.675
27.2	0.68125
27.6	0.68125
28	0.68125
28.4	0.6875
28.8	0.6875
29.2	0.69375
29.6	0.69375
30	0.7
30.4	0.7
30.8	0.70625
31.2	0.70625
31.6	0.7125
32	0.7125
32.4	0.71875
32.8	0.71875
33.2	0.725
33.6	0.725
34	0.73125
34.4	0.73125
34.8	0.7375
35.2	0.7375
35.6	0.74375
36	0.74375
36.4	0.75
36.8	0.75
37.2	0.75625
37.6	0.75625
38	0.7625
38.4	0.7625
38.8	0.76875
39.2	0.76875
39.6	0.775
40	0.775
40.4	0.78125
40.8	0.78125
41.2	0.7875
41.6	0.7875
42	0.7875
42.4	0.79375
42.8	0.79375
43.2	0.8
43.6	0.8
44	0.8
44.4	0.8
44.8	0.8
45.2	0.80625
45.6	0.8125
46	0.8125
46.4	0.81875
46.8	0.825
47.2	0.81875
47.6	0.81875
48	0.81875
