#WindowWidth (s)	Efficiency
0.4	0.24375
0.8	0.33125
1.2	0.33125
1.6	0.36875
2	0.34375
2.4	0.36875
2.8	0.38125
3.2	0.39375
3.6	0.38125
4	0.39375
4.4	0.4
4.8	0.41875
5.2	0.4375
5.6	0.45
6	0.46875
6.4	0.48125
6.8	0.49375
7.2	0.5
7.6	0.5375
8	0.55625
8.4	0.5625
8.8	0.59375
9.2	0.60625
9.6	0.61875
10	0.63125
10.4	0.64375
10.8	0.65
11.2	0.6625
11.6	0.69375
12	0.69375
12.4	0.70625
12.8	0.73125
13.2	0.71875
13.6	0.75625
14	0.7375
14.4	0.7625
14.8	0.75
15.2	0.75625
15.6	0.7625
16	0.775
16.4	0.775
16.8	0.7875
17.2	0.8
17.6	0.825
18	0.8375
18.4	0.85
18.8	0.875
19.2	0.85625
19.6	0.86875
20	0.85
20.4	0.85
20.8	0.86875
21.2	0.85
21.6	0.85
22	0.85625
22.4	0.8625
22.8	0.86875
23.2	0.85625
23.6	0.85
24	0.8375
24.4	0.85
24.8	0.84375
25.2	0.83125
25.6	0.81875
26	0.8125
26.4	0.81875
26.8	0.825
27.2	0.825
27.6	0.8375
28	0.8375
28.4	0.85625
28.8	0.85
29.2	0.8625
29.6	0.8625
30	0.86875
30.4	0.88125
30.8	0.8875
31.2	0.8875
31.6	0.88125
32	0.875
32.4	0.88125
32.8	0.875
33.2	0.8625
33.6	0.8875
34	0.8625
34.4	0.86875
34.8	0.86875
35.2	0.8625
35.6	0.8625
36	0.8625
36.4	0.8625
36.8	0.8625
37.2	0.8625
37.6	0.88125
38	0.88125
38.4	0.8875
38.8	0.88125
39.2	0.88125
39.6	0.85
40	0.85625
40.4	0.85
40.8	0.8625
41.2	0.85
41.6	0.8625
42	0.86875
42.4	0.86875
42.8	0.86875
43.2	0.88125
43.6	0.88125
44	0.89375
44.4	0.9125
44.8	0.91875
45.2	0.925
45.6	0.93125
46	0.94375
46.4	0.9375
46.8	0.95
47.2	0.94375
47.6	0.95
48	0.95625
