#WindowWidth (s)	Efficiency
0.4	0.13125
0.8	0.14375
1.2	0.1375
1.6	0.1
2	0.1125
2.4	0.10625
2.8	0.125
3.2	0.125
3.6	0.1625
4	0.18125
4.4	0.18125
4.8	0.2125
5.2	0.21875
5.6	0.2625
6	0.29375
6.4	0.325
6.8	0.35
7.2	0.3875
7.6	0.39375
8	0.40625
8.4	0.41875
8.8	0.425
9.2	0.4375
9.6	0.45
10	0.45625
10.4	0.4625
10.8	0.46875
11.2	0.46875
11.6	0.475
12	0.48125
12.4	0.48125
12.8	0.5
13.2	0.51875
13.6	0.525
14	0.53125
14.4	0.55
14.8	0.55625
15.2	0.56875
15.6	0.58125
16	0.5875
16.4	0.60625
16.8	0.6125
17.2	0.625
17.6	0.6375
18	0.65
18.4	0.6625
18.8	0.66875
19.2	0.68125
19.6	0.68125
20	0.7
20.4	0.7
20.8	0.71875
21.2	0.725
21.6	0.71875
22	0.71875
22.4	0.725
22.8	0.73125
23.2	0.725
23.6	0.725
24	0.73125
24.4	0.75
24.8	0.78125
25.2	0.78125
25.6	0.79375
26	0.80625
26.4	0.81875
26.8	0.81875
27.2	0.80625
27.6	0.81875
28	0.7875
28.4	0.79375
28.8	0.80625
29.2	0.825
29.6	0.85625
30	0.85625
30.4	0.8375
30.8	0.85
31.2	0.8375
31.6	0.84375
32	0.85625
32.4	0.8625
32.8	0.84375
33.2	0.83125
33.6	0.8
34	0.80625
34.4	0.775
34.8	0.75625
35.2	0.7625
35.6	0.76875
36	0.7625
36.4	0.76875
36.8	0.7875
37.2	0.79375
37.6	0.7875
38	0.7875
38.4	0.79375
38.8	0.79375
39.2	0.825
39.6	0.8125
40	0.825
40.4	0.8125
40.8	0.80625
41.2	0.825
41.6	0.8375
42	0.8375
42.4	0.83125
42.8	0.84375
43.2	0.8375
43.6	0.85
44	0.8375
44.4	0.85
44.8	0.86875
45.2	0.8625
45.6	0.875
46	0.8875
46.4	0.88125
46.8	0.89375
47.2	0.8875
47.6	0.89375
48	0.89375
