#WindowWidth (s)	Efficiency
0.4	0.025
0.8	0.01875
1.2	0.00625
1.6	0.025
2	0.05
2.4	0.05625
2.8	0.08125
3.2	0.08125
3.6	0.09375
4	0.10625
4.4	0.11875
4.8	0.13125
5.2	0.16875
5.6	0.175
6	0.19375
6.4	0.20625
6.8	0.21875
7.2	0.24375
7.6	0.25
8	0.26875
8.4	0.2875
8.8	0.2875
9.2	0.29375
9.6	0.3
10	0.3
10.4	0.3125
10.8	0.31875
11.2	0.3375
11.6	0.33125
12	0.34375
12.4	0.34375
12.8	0.35625
13.2	0.35625
13.6	0.34375
14	0.35
14.4	0.34375
14.8	0.35625
15.2	0.35
15.6	0.35
16	0.35625
16.4	0.35625
16.8	0.36875
17.2	0.36875
17.6	0.38125
18	0.3875
18.4	0.39375
18.8	0.4
19.2	0.40625
19.6	0.40625
20	0.41875
20.4	0.425
20.8	0.43125
21.2	0.4375
21.6	0.45
22	0.45
22.4	0.4625
22.8	0.4625
23.2	0.46875
23.6	0.475
24	0.48125
24.4	0.4875
24.8	0.4875
25.2	0.5
25.6	0.5
26	0.50625
26.4	0.5125
26.8	0.525
27.2	0.525
27.6	0.53125
28	0.5375
28.4	0.54375
28.8	0.55
29.2	0.55
29.6	0.5625
30	0.5625
30.4	0.575
30.8	0.575
31.2	0.5875
31.6	0.59375
32	0.6
32.4	0.6125
32.8	0.6125
33.2	0.61875
33.6	0.625
34	0.63125
34.4	0.6375
34.8	0.6375
35.2	0.65
35.6	0.65
36	0.6625
36.4	0.6625
36.8	0.675
37.2	0.675
37.6	0.68125
38	0.6875
38.4	0.69375
38.8	0.7
39.2	0.70625
39.6	0.7125
40	0.71875
40.4	0.725
40.8	0.73125
41.2	0.7375
41.6	0.7375
42	0.74375
42.4	0.74375
42.8	0.75
43.2	0.75625
43.6	0.7625
44	0.76875
44.4	0.775
44.8	0.775
45.2	0.7875
45.6	0.79375
46	0.8
46.4	0.80625
46.8	0.8125
47.2	0.8125
47.6	0.825
48	0.825
