#WindowWidth (s)	Efficiency
0.4	0.05
0.8	0.0368421
1.2	0.05
1.6	0.0552632
2	0.0631579
2.4	0.0631579
2.8	0.0657895
3.2	0.0684211
3.6	0.0684211
4	0.0684211
4.4	0.0710526
4.8	0.05
5.2	0.0552632
5.6	0.0552632
6	0.0578947
6.4	0.0526316
6.8	0.0552632
7.2	0.0552632
7.6	0.0578947
8	0.0578947
8.4	0.0631579
8.8	0.0631579
9.2	0.0684211
9.6	0.0684211
10	0.0736842
10.4	0.0736842
10.8	0.0763158
11.2	0.0815789
11.6	0.0842105
12	0.0842105
12.4	0.0894737
12.8	0.0921053
13.2	0.0973684
13.6	0.0973684
14	0.102632
14.4	0.102632
14.8	0.107895
15.2	0.107895
15.6	0.113158
16	0.113158
16.4	0.118421
16.8	0.118421
17.2	0.121053
17.6	0.121053
18	0.126316
18.4	0.128947
18.8	0.131579
19.2	0.134211
19.6	0.136842
20	0.139474
20.4	0.142105
20.8	0.144737
21.2	0.147368
21.6	0.15
22	0.152632
22.4	0.155263
22.8	0.157895
23.2	0.163158
23.6	0.163158
24	0.165789
24.4	0.168421
24.8	0.168421
25.2	0.173684
25.6	0.173684
26	0.178947
26.4	0.184211
26.8	0.189474
27.2	0.189474
27.6	0.192105
28	0.192105
28.4	0.194737
28.8	0.194737
29.2	0.194737
29.6	0.197368
30	0.197368
30.4	0.2
30.8	0.2
31.2	0.202632
31.6	0.202632
32	0.205263
32.4	0.205263
32.8	0.207895
33.2	0.210526
33.6	0.210526
34	0.213158
34.4	0.213158
34.8	0.215789
35.2	0.215789
35.6	0.218421
36	0.218421
36.4	0.221053
36.8	0.221053
37.2	0.221053
37.6	0.223684
38	0.226316
38.4	0.226316
38.8	0.228947
39.2	0.228947
39.6	0.231579
40	0.231579
40.4	0.234211
40.8	0.234211
41.2	0.236842
41.6	0.236842
42	0.239474
42.4	0.239474
42.8	0.242105
43.2	0.242105
43.6	0.242105
44	0.244737
44.4	0.244737
44.8	0.247368
45.2	0.247368
45.6	0.25
46	0.25
46.4	0.252632
46.8	0.252632
47.2	0.255263
47.6	0.255263
48	0.257895
