#WindowWidth (s)	Efficiency
0.4	0.05
0.8	0.0710526
1.2	0.0815789
1.6	0.0763158
2	0.0710526
2.4	0.0763158
2.8	0.0605263
3.2	0.0684211
3.6	0.0684211
4	0.0763158
4.4	0.0736842
4.8	0.0815789
5.2	0.0763158
5.6	0.0815789
6	0.0789474
6.4	0.0763158
6.8	0.0710526
7.2	0.0763158
7.6	0.0736842
8	0.0789474
8.4	0.0763158
8.8	0.0789474
9.2	0.0815789
9.6	0.0815789
10	0.0842105
10.4	0.0894737
10.8	0.0894737
11.2	0.0947368
11.6	0.102632
12	0.107895
12.4	0.113158
12.8	0.121053
13.2	0.123684
13.6	0.123684
14	0.131579
14.4	0.139474
14.8	0.152632
15.2	0.152632
15.6	0.155263
16	0.155263
16.4	0.157895
16.8	0.157895
17.2	0.160526
17.6	0.160526
18	0.163158
18.4	0.163158
18.8	0.165789
19.2	0.165789
19.6	0.168421
20	0.168421
20.4	0.171053
20.8	0.171053
21.2	0.173684
21.6	0.176316
22	0.176316
22.4	0.178947
22.8	0.178947
23.2	0.181579
23.6	0.181579
24	0.181579
24.4	0.184211
24.8	0.184211
25.2	0.186842
25.6	0.186842
26	0.189474
26.4	0.189474
26.8	0.189474
27.2	0.192105
27.6	0.192105
28	0.194737
28.4	0.194737
28.8	0.197368
29.2	0.197368
29.6	0.2
30	0.2
30.4	0.202632
30.8	0.202632
31.2	0.202632
31.6	0.205263
32	0.205263
32.4	0.205263
32.8	0.207895
33.2	0.207895
33.6	0.210526
34	0.210526
34.4	0.213158
34.8	0.213158
35.2	0.215789
35.6	0.215789
36	0.218421
36.4	0.218421
36.8	0.221053
37.2	0.221053
37.6	0.223684
38	0.223684
38.4	0.226316
38.8	0.226316
39.2	0.228947
39.6	0.228947
40	0.231579
40.4	0.234211
40.8	0.234211
41.2	0.234211
41.6	0.236842
42	0.236842
42.4	0.239474
42.8	0.239474
43.2	0.242105
43.6	0.242105
44	0.244737
44.4	0.244737
44.8	0.247368
45.2	0.247368
45.6	0.25
46	0.25
46.4	0.252632
46.8	0.252632
47.2	0.255263
47.6	0.255263
48	0.257895
