#WindowWidth (s)	Efficiency
0.4	0.075
0.8	0.0958333
1.2	0.116667
1.6	0.1375
2	0.1625
2.4	0.179167
2.8	0.191667
3.2	0.2125
3.6	0.220833
4	0.2375
4.4	0.254167
4.8	0.258333
5.2	0.283333
5.6	0.258333
6	0.258333
6.4	0.258333
6.8	0.266667
7.2	0.270833
7.6	0.279167
8	0.283333
8.4	0.2875
8.8	0.325
9.2	0.329167
9.6	0.316667
10	0.3375
10.4	0.358333
10.8	0.370833
11.2	0.370833
11.6	0.391667
12	0.391667
12.4	0.383333
12.8	0.404167
13.2	0.404167
13.6	0.416667
14	0.429167
14.4	0.441667
14.8	0.4375
15.2	0.4875
15.6	0.508333
16	0.520833
16.4	0.541667
16.8	0.5625
17.2	0.554167
17.6	0.5625
18	0.575
18.4	0.583333
18.8	0.575
19.2	0.579167
19.6	0.595833
20	0.604167
20.4	0.629167
20.8	0.620833
21.2	0.625
21.6	0.641667
22	0.6625
22.4	0.691667
22.8	0.695833
23.2	0.720833
23.6	0.733333
24	0.758333
24.4	0.775
24.8	0.791667
25.2	0.816667
25.6	0.845833
26	0.8625
26.4	0.866667
26.8	0.875
27.2	0.875
27.6	0.891667
28	0.895833
28.4	0.9
28.8	0.895833
29.2	0.904167
29.6	0.908333
30	0.920833
30.4	0.925
30.8	0.916667
31.2	0.9125
31.6	0.908333
32	0.908333
32.4	0.9125
32.8	0.920833
33.2	0.916667
33.6	0.925
34	0.9375
34.4	0.941667
34.8	0.9375
35.2	0.941667
35.6	0.954167
36	0.945833
36.4	0.941667
36.8	0.95
37.2	0.95
37.6	0.941667
38	0.945833
38.4	0.9375
38.8	0.933333
39.2	0.933333
39.6	0.933333
40	0.925
40.4	0.933333
40.8	0.933333
41.2	0.941667
41.6	0.95
42	0.95
42.4	0.954167
42.8	0.95
43.2	0.958333
43.6	0.975
44	0.979167
44.4	0.970833
44.8	0.979167
45.2	0.975
45.6	0.983333
46	0.9875
46.4	0.9875
46.8	0.983333
47.2	0.983333
47.6	0.9875
48	0.991667
