#WindowWidth (s)	Efficiency
0.4	0.228947
0.8	0.315789
1.2	0.292105
1.6	0.289474
2	0.260526
2.4	0.207895
2.8	0.171053
3.2	0.155263
3.6	0.144737
4	0.131579
4.4	0.118421
4.8	0.110526
5.2	0.105263
5.6	0.105263
6	0.110526
6.4	0.110526
6.8	0.115789
7.2	0.115789
7.6	0.121053
8	0.121053
8.4	0.126316
8.8	0.128947
9.2	0.131579
9.6	0.134211
10	0.136842
10.4	0.139474
10.8	0.142105
11.2	0.144737
11.6	0.147368
12	0.147368
12.4	0.147368
12.8	0.15
13.2	0.15
13.6	0.152632
14	0.152632
14.4	0.155263
14.8	0.155263
15.2	0.157895
15.6	0.157895
16	0.160526
16.4	0.163158
16.8	0.163158
17.2	0.165789
17.6	0.165789
18	0.168421
18.4	0.168421
18.8	0.171053
19.2	0.171053
19.6	0.173684
20	0.173684
20.4	0.176316
20.8	0.176316
21.2	0.176316
21.6	0.178947
22	0.178947
22.4	0.181579
22.8	0.181579
23.2	0.184211
23.6	0.184211
24	0.184211
24.4	0.186842
24.8	0.186842
25.2	0.189474
25.6	0.192105
26	0.192105
26.4	0.194737
26.8	0.194737
27.2	0.197368
27.6	0.197368
28	0.2
28.4	0.2
28.8	0.202632
29.2	0.202632
29.6	0.205263
30	0.205263
30.4	0.207895
30.8	0.207895
31.2	0.210526
31.6	0.210526
32	0.213158
32.4	0.213158
32.8	0.213158
33.2	0.215789
33.6	0.215789
34	0.218421
34.4	0.218421
34.8	0.221053
35.2	0.221053
35.6	0.223684
36	0.223684
36.4	0.226316
36.8	0.226316
37.2	0.228947
37.6	0.228947
38	0.231579
38.4	0.231579
38.8	0.234211
39.2	0.234211
39.6	0.236842
40	0.236842
40.4	0.239474
40.8	0.239474
41.2	0.242105
41.6	0.242105
42	0.244737
42.4	0.244737
42.8	0.247368
43.2	0.247368
43.6	0.25
44	0.25
44.4	0.252632
44.8	0.252632
45.2	0.255263
45.6	0.257895
46	0.257895
46.4	0.260526
46.8	0.260526
47.2	0.260526
47.6	0.263158
48	0.263158
