#WindowWidth (s)	Efficiency
0.4	0.0631579
0.8	0.0736842
1.2	0.0710526
1.6	0.0868421
2	0.0842105
2.4	0.0684211
2.8	0.0736842
3.2	0.0736842
3.6	0.0763158
4	0.0736842
4.4	0.0710526
4.8	0.0736842
5.2	0.0789474
5.6	0.0763158
6	0.0842105
6.4	0.0842105
6.8	0.0842105
7.2	0.0894737
7.6	0.0921053
8	0.0973684
8.4	0.102632
8.8	0.113158
9.2	0.118421
9.6	0.126316
10	0.123684
10.4	0.131579
10.8	0.139474
11.2	0.139474
11.6	0.144737
12	0.152632
12.4	0.157895
12.8	0.160526
13.2	0.173684
13.6	0.173684
14	0.176316
14.4	0.173684
14.8	0.171053
15.2	0.171053
15.6	0.176316
16	0.173684
16.4	0.173684
16.8	0.168421
17.2	0.165789
17.6	0.165789
18	0.171053
18.4	0.171053
18.8	0.168421
19.2	0.171053
19.6	0.173684
20	0.173684
20.4	0.173684
20.8	0.176316
21.2	0.178947
21.6	0.178947
22	0.184211
22.4	0.184211
22.8	0.186842
23.2	0.189474
23.6	0.189474
24	0.197368
24.4	0.197368
24.8	0.194737
25.2	0.194737
25.6	0.197368
26	0.194737
26.4	0.197368
26.8	0.2
27.2	0.2
27.6	0.2
28	0.2
28.4	0.202632
28.8	0.205263
29.2	0.205263
29.6	0.207895
30	0.205263
30.4	0.207895
30.8	0.207895
31.2	0.210526
31.6	0.210526
32	0.213158
32.4	0.213158
32.8	0.215789
33.2	0.215789
33.6	0.218421
34	0.218421
34.4	0.221053
34.8	0.221053
35.2	0.223684
35.6	0.223684
36	0.226316
36.4	0.226316
36.8	0.228947
37.2	0.228947
37.6	0.231579
38	0.231579
38.4	0.234211
38.8	0.234211
39.2	0.236842
39.6	0.236842
40	0.239474
40.4	0.239474
40.8	0.242105
41.2	0.242105
41.6	0.244737
42	0.244737
42.4	0.247368
42.8	0.247368
43.2	0.25
43.6	0.25
44	0.252632
44.4	0.252632
44.8	0.255263
45.2	0.255263
45.6	0.257895
46	0.260526
46.4	0.260526
46.8	0.263158
47.2	0.263158
47.6	0.265789
48	0.265789
