#WindowWidth (s)	Efficiency
0.4	0.0447368
0.8	0.0552632
1.2	0.0552632
1.6	0.0342105
2	0.0447368
2.4	0.0447368
2.8	0.0473684
3.2	0.0447368
3.6	0.0473684
4	0.0473684
4.4	0.0421053
4.8	0.05
5.2	0.05
5.6	0.0526316
6	0.05
6.4	0.0473684
6.8	0.05
7.2	0.0526316
7.6	0.0552632
8	0.0552632
8.4	0.0605263
8.8	0.0631579
9.2	0.0657895
9.6	0.0657895
10	0.0710526
10.4	0.0763158
10.8	0.0842105
11.2	0.0710526
11.6	0.0710526
12	0.0763158
12.4	0.0815789
12.8	0.0921053
13.2	0.0921053
13.6	0.0921053
14	0.0921053
14.4	0.0973684
14.8	0.0973684
15.2	0.1
15.6	0.0973684
16	0.102632
16.4	0.107895
16.8	0.107895
17.2	0.110526
17.6	0.113158
18	0.105263
18.4	0.110526
18.8	0.110526
19.2	0.107895
19.6	0.113158
20	0.128947
20.4	0.131579
20.8	0.136842
21.2	0.136842
21.6	0.139474
22	0.142105
22.4	0.144737
22.8	0.147368
23.2	0.147368
23.6	0.147368
24	0.15
24.4	0.157895
24.8	0.155263
25.2	0.152632
25.6	0.157895
26	0.155263
26.4	0.155263
26.8	0.155263
27.2	0.152632
27.6	0.155263
28	0.165789
28.4	0.168421
28.8	0.171053
29.2	0.168421
29.6	0.168421
30	0.171053
30.4	0.171053
30.8	0.171053
31.2	0.168421
31.6	0.176316
32	0.176316
32.4	0.184211
32.8	0.184211
33.2	0.186842
33.6	0.186842
34	0.189474
34.4	0.189474
34.8	0.189474
35.2	0.186842
35.6	0.186842
36	0.181579
36.4	0.173684
36.8	0.173684
37.2	0.173684
37.6	0.173684
38	0.173684
38.4	0.176316
38.8	0.176316
39.2	0.178947
39.6	0.178947
40	0.181579
40.4	0.181579
40.8	0.184211
41.2	0.184211
41.6	0.186842
42	0.186842
42.4	0.189474
42.8	0.189474
43.2	0.189474
43.6	0.192105
44	0.192105
44.4	0.194737
44.8	0.197368
45.2	0.197368
45.6	0.197368
46	0.2
46.4	0.2
46.8	0.2
47.2	0.202632
47.6	0.202632
48	0.205263
