#WindowWidth (s)	Efficiency
0.4	0.163158
0.8	0.171053
1.2	0.168421
1.6	0.160526
2	0.165789
2.4	0.152632
2.8	0.155263
3.2	0.155263
3.6	0.134211
4	0.142105
4.4	0.142105
4.8	0.139474
5.2	0.134211
5.6	0.128947
6	0.131579
6.4	0.128947
6.8	0.131579
7.2	0.136842
7.6	0.142105
8	0.142105
8.4	0.147368
8.8	0.144737
9.2	0.155263
9.6	0.152632
10	0.160526
10.4	0.163158
10.8	0.165789
11.2	0.176316
11.6	0.173684
12	0.176316
12.4	0.178947
12.8	0.186842
13.2	0.184211
13.6	0.181579
14	0.178947
14.4	0.176316
14.8	0.176316
15.2	0.178947
15.6	0.178947
16	0.178947
16.4	0.178947
16.8	0.181579
17.2	0.178947
17.6	0.184211
18	0.186842
18.4	0.184211
18.8	0.186842
19.2	0.189474
19.6	0.189474
20	0.186842
20.4	0.192105
20.8	0.192105
21.2	0.192105
21.6	0.192105
22	0.192105
22.4	0.184211
22.8	0.184211
23.2	0.186842
23.6	0.189474
24	0.186842
24.4	0.192105
24.8	0.192105
25.2	0.197368
25.6	0.197368
26	0.2
26.4	0.197368
26.8	0.197368
27.2	0.197368
27.6	0.2
28	0.2
28.4	0.202632
28.8	0.202632
29.2	0.205263
29.6	0.205263
30	0.207895
30.4	0.207895
30.8	0.210526
31.2	0.210526
31.6	0.213158
32	0.213158
32.4	0.215789
32.8	0.215789
33.2	0.218421
33.6	0.218421
34	0.221053
34.4	0.221053
34.8	0.223684
35.2	0.223684
35.6	0.226316
36	0.226316
36.4	0.228947
36.8	0.228947
37.2	0.231579
37.6	0.231579
38	0.234211
38.4	0.234211
38.8	0.236842
39.2	0.236842
39.6	0.239474
40	0.239474
40.4	0.242105
40.8	0.242105
41.2	0.244737
41.6	0.244737
42	0.247368
42.4	0.247368
42.8	0.25
43.2	0.25
43.6	0.252632
44	0.252632
44.4	0.255263
44.8	0.255263
45.2	0.257895
45.6	0.257895
46	0.257895
46.4	0.260526
46.8	0.263158
47.2	0.263158
47.6	0.263158
48	0.265789
