#WindowWidth (s)	Efficiency
0.4	0.0605263
0.8	0.0631579
1.2	0.0789474
1.6	0.0763158
2	0.0605263
2.4	0.0657895
2.8	0.0631579
3.2	0.0578947
3.6	0.0578947
4	0.0552632
4.4	0.0552632
4.8	0.0552632
5.2	0.0578947
5.6	0.0552632
6	0.0605263
6.4	0.0657895
6.8	0.0710526
7.2	0.0684211
7.6	0.0789474
8	0.0868421
8.4	0.0894737
8.8	0.1
9.2	0.110526
9.6	0.110526
10	0.123684
10.4	0.118421
10.8	0.115789
11.2	0.121053
11.6	0.118421
12	0.123684
12.4	0.126316
12.8	0.134211
13.2	0.134211
13.6	0.134211
14	0.134211
14.4	0.128947
14.8	0.128947
15.2	0.126316
15.6	0.128947
16	0.134211
16.4	0.136842
16.8	0.134211
17.2	0.136842
17.6	0.131579
18	0.131579
18.4	0.134211
18.8	0.136842
19.2	0.139474
19.6	0.136842
20	0.139474
20.4	0.142105
20.8	0.142105
21.2	0.144737
21.6	0.147368
22	0.15
22.4	0.152632
22.8	0.160526
23.2	0.157895
23.6	0.163158
24	0.168421
24.4	0.168421
24.8	0.168421
25.2	0.173684
25.6	0.181579
26	0.189474
26.4	0.189474
26.8	0.189474
27.2	0.189474
27.6	0.189474
28	0.192105
28.4	0.192105
28.8	0.192105
29.2	0.194737
29.6	0.194737
30	0.194737
30.4	0.197368
30.8	0.194737
31.2	0.2
31.6	0.197368
32	0.2
32.4	0.2
32.8	0.2
33.2	0.202632
33.6	0.205263
34	0.205263
34.4	0.210526
34.8	0.210526
35.2	0.213158
35.6	0.215789
36	0.218421
36.4	0.218421
36.8	0.221053
37.2	0.218421
37.6	0.218421
38	0.218421
38.4	0.221053
38.8	0.221053
39.2	0.221053
39.6	0.221053
40	0.221053
40.4	0.223684
40.8	0.223684
41.2	0.228947
41.6	0.231579
42	0.231579
42.4	0.236842
42.8	0.236842
43.2	0.239474
43.6	0.239474
44	0.242105
44.4	0.239474
44.8	0.244737
45.2	0.244737
45.6	0.247368
46	0.247368
46.4	0.25
46.8	0.25
47.2	0.252632
47.6	0.252632
48	0.255263
