#WindowWidth (s)	Efficiency
0.4	0.0815789
0.8	0.118421
1.2	0.123684
1.6	0.139474
2	0.118421
2.4	0.134211
2.8	0.121053
3.2	0.118421
3.6	0.121053
4	0.126316
4.4	0.136842
4.8	0.15
5.2	0.152632
5.6	0.157895
6	0.165789
6.4	0.157895
6.8	0.168421
7.2	0.176316
7.6	0.184211
8	0.189474
8.4	0.197368
8.8	0.194737
9.2	0.202632
9.6	0.207895
10	0.213158
10.4	0.218421
10.8	0.228947
11.2	0.231579
11.6	0.226316
12	0.226316
12.4	0.226316
12.8	0.239474
13.2	0.231579
13.6	0.231579
14	0.226316
14.4	0.221053
14.8	0.205263
15.2	0.194737
15.6	0.194737
16	0.186842
16.4	0.176316
16.8	0.168421
17.2	0.165789
17.6	0.168421
18	0.165789
18.4	0.165789
18.8	0.171053
19.2	0.171053
19.6	0.168421
20	0.171053
20.4	0.171053
20.8	0.173684
21.2	0.173684
21.6	0.176316
22	0.176316
22.4	0.178947
22.8	0.178947
23.2	0.181579
23.6	0.184211
24	0.184211
24.4	0.186842
24.8	0.186842
25.2	0.189474
25.6	0.189474
26	0.192105
26.4	0.192105
26.8	0.194737
27.2	0.194737
27.6	0.197368
28	0.197368
28.4	0.2
28.8	0.2
29.2	0.202632
29.6	0.202632
30	0.202632
30.4	0.205263
30.8	0.205263
31.2	0.207895
31.6	0.207895
32	0.210526
32.4	0.210526
32.8	0.213158
33.2	0.213158
33.6	0.215789
34	0.215789
34.4	0.218421
34.8	0.218421
35.2	0.221053
35.6	0.221053
36	0.223684
36.4	0.223684
36.8	0.226316
37.2	0.226316
37.6	0.228947
38	0.228947
38.4	0.231579
38.8	0.231579
39.2	0.234211
39.6	0.234211
40	0.239474
40.4	0.242105
40.8	0.244737
41.2	0.247368
41.6	0.25
42	0.255263
42.4	0.255263
42.8	0.257895
43.2	0.257895
43.6	0.255263
44	0.252632
44.4	0.25
44.8	0.252632
45.2	0.252632
45.6	0.255263
46	0.255263
46.4	0.257895
46.8	0.260526
47.2	0.260526
47.6	0.263158
48	0.265789
