#WindowWidth (s)	Efficiency
0.4	0.46875
0.8	0.6375
1.2	0.66875
1.6	0.73125
2	0.74375
2.4	0.7375
2.8	0.75
3.2	0.79375
3.6	0.8125
4	0.825
4.4	0.83125
4.8	0.825
5.2	0.83125
5.6	0.84375
6	0.85
6.4	0.85
6.8	0.85625
7.2	0.83125
7.6	0.8375
8	0.8375
8.4	0.85625
8.8	0.875
9.2	0.88125
9.6	0.88125
10	0.89375
10.4	0.89375
10.8	0.89375
11.2	0.88125
11.6	0.8875
12	0.89375
12.4	0.89375
12.8	0.9
13.2	0.90625
13.6	0.9125
14	0.9125
14.4	0.925
14.8	0.925
15.2	0.93125
15.6	0.93125
16	0.94375
16.4	0.94375
16.8	0.95625
17.2	0.9625
17.6	0.96875
18	0.98125
18.4	0.98125
18.8	0.99375
19.2	1
19.6	1
20	1
20.4	1
20.8	1
21.2	1
21.6	1
22	1
22.4	1
22.8	1
23.2	1
23.6	1
24	1
24.4	1
24.8	1
25.2	1
25.6	1
26	1
26.4	1
26.8	1
27.2	1
27.6	1
28	1
28.4	1
28.8	1
29.2	1
29.6	1
30	1
30.4	1
30.8	1
31.2	1
31.6	1
32	1
32.4	1
32.8	1
33.2	1
33.6	1
34	1
34.4	1
34.8	1
35.2	1
35.6	1
36	1
36.4	1
36.8	1
37.2	1
37.6	1
38	1
38.4	1
38.8	1
39.2	1
39.6	1
40	1
40.4	1
40.8	1
41.2	1
41.6	1
42	1
42.4	1
42.8	1
43.2	1
43.6	1
44	1
44.4	1
44.8	1
45.2	1
45.6	1
46	1
46.4	1
46.8	1
47.2	1
47.6	1
48	1
