#WindowWidth (s)	Efficiency
0.4	0.0541667
0.8	0.0291667
1.2	0.0333333
1.6	0.0416667
2	0.0333333
2.4	0.025
2.8	0.0333333
3.2	0.0333333
3.6	0.0375
4	0.0541667
4.4	0.0791667
4.8	0.075
5.2	0.1
5.6	0.1
6	0.0916667
6.4	0.104167
6.8	0.0958333
7.2	0.0916667
7.6	0.0791667
8	0.0833333
8.4	0.0916667
8.8	0.1
9.2	0.116667
9.6	0.120833
10	0.120833
10.4	0.120833
10.8	0.129167
11.2	0.1125
11.6	0.129167
12	0.120833
12.4	0.1375
12.8	0.129167
13.2	0.125
13.6	0.133333
14	0.158333
14.4	0.158333
14.8	0.179167
15.2	0.158333
15.6	0.166667
16	0.158333
16.4	0.145833
16.8	0.158333
17.2	0.154167
17.6	0.141667
18	0.141667
18.4	0.154167
18.8	0.154167
19.2	0.158333
19.6	0.166667
20	0.145833
20.4	0.158333
20.8	0.154167
21.2	0.158333
21.6	0.166667
22	0.179167
22.4	0.166667
22.8	0.183333
23.2	0.1875
23.6	0.195833
24	0.183333
24.4	0.208333
24.8	0.2
25.2	0.2125
25.6	0.216667
26	0.208333
26.4	0.208333
26.8	0.216667
27.2	0.2125
27.6	0.233333
28	0.2375
28.4	0.233333
28.8	0.233333
29.2	0.2375
29.6	0.225
30	0.216667
30.4	0.204167
30.8	0.2
31.2	0.208333
31.6	0.208333
32	0.2
32.4	0.208333
32.8	0.195833
33.2	0.216667
33.6	0.216667
34	0.229167
34.4	0.220833
34.8	0.2375
35.2	0.233333
35.6	0.233333
36	0.233333
36.4	0.233333
36.8	0.229167
37.2	0.2375
37.6	0.2375
38	0.25
38.4	0.25
38.8	0.258333
39.2	0.2625
39.6	0.266667
40	0.266667
40.4	0.266667
40.8	0.270833
41.2	0.270833
41.6	0.275
42	0.275
42.4	0.279167
42.8	0.279167
43.2	0.279167
43.6	0.275
44	0.283333
44.4	0.279167
44.8	0.2875
45.2	0.2875
45.6	0.308333
46	0.320833
46.4	0.341667
46.8	0.345833
47.2	0.345833
47.6	0.35
48	0.345833
