#WindowWidth (s)	Efficiency
0.4	0.0541667
0.8	0.0291667
1.2	0.0208333
1.6	0.0416667
2	0.0375
2.4	0.0291667
2.8	0.0208333
3.2	0.0333333
3.6	0.0333333
4	0.0416667
4.4	0.0333333
4.8	0.0458333
5.2	0.0541667
5.6	0.0666667
6	0.0666667
6.4	0.0791667
6.8	0.0666667
7.2	0.0958333
7.6	0.0875
8	0.1125
8.4	0.1125
8.8	0.133333
9.2	0.158333
9.6	0.170833
10	0.175
10.4	0.183333
10.8	0.195833
11.2	0.191667
11.6	0.204167
12	0.2125
12.4	0.204167
12.8	0.216667
13.2	0.195833
13.6	0.2125
14	0.204167
14.4	0.2125
14.8	0.225
15.2	0.241667
15.6	0.254167
16	0.254167
16.4	0.258333
16.8	0.275
17.2	0.275
17.6	0.270833
18	0.258333
18.4	0.283333
18.8	0.320833
19.2	0.320833
19.6	0.329167
20	0.333333
20.4	0.345833
20.8	0.354167
21.2	0.35
21.6	0.35
22	0.304167
22.4	0.333333
22.8	0.3375
23.2	0.341667
23.6	0.35
24	0.354167
24.4	0.358333
24.8	0.366667
25.2	0.375
25.6	0.3625
26	0.383333
26.4	0.391667
26.8	0.391667
27.2	0.420833
27.6	0.425
28	0.429167
28.4	0.4375
28.8	0.433333
29.2	0.433333
29.6	0.454167
30	0.425
30.4	0.433333
30.8	0.4125
31.2	0.416667
31.6	0.429167
32	0.4125
32.4	0.433333
32.8	0.429167
33.2	0.433333
33.6	0.441667
34	0.454167
34.4	0.454167
34.8	0.454167
35.2	0.441667
35.6	0.441667
36	0.433333
36.4	0.4375
36.8	0.4375
37.2	0.429167
37.6	0.429167
38	0.445833
38.4	0.4375
38.8	0.45
39.2	0.441667
39.6	0.4375
40	0.4375
40.4	0.445833
40.8	0.45
41.2	0.45
41.6	0.441667
42	0.441667
42.4	0.425
42.8	0.420833
43.2	0.408333
43.6	0.4125
44	0.4125
44.4	0.408333
44.8	0.395833
45.2	0.391667
45.6	0.379167
46	0.395833
46.4	0.395833
46.8	0.391667
47.2	0.391667
47.6	0.4
48	0.404167
