#WindowWidth (s)	Efficiency
0.4	0.158333
0.8	0.195833
1.2	0.208333
1.6	0.216667
2	0.216667
2.4	0.241667
2.8	0.241667
3.2	0.241667
3.6	0.254167
4	0.266667
4.4	0.308333
4.8	0.3
5.2	0.325
5.6	0.316667
6	0.325
6.4	0.304167
6.8	0.325
7.2	0.316667
7.6	0.3375
8	0.341667
8.4	0.370833
8.8	0.354167
9.2	0.370833
9.6	0.3625
10	0.366667
10.4	0.341667
10.8	0.383333
11.2	0.383333
11.6	0.375
12	0.4
12.4	0.404167
12.8	0.420833
13.2	0.433333
13.6	0.441667
14	0.445833
14.4	0.454167
14.8	0.4625
15.2	0.479167
15.6	0.491667
16	0.495833
16.4	0.533333
16.8	0.55
17.2	0.554167
17.6	0.55
18	0.579167
18.4	0.575
18.8	0.595833
19.2	0.595833
19.6	0.604167
20	0.595833
20.4	0.620833
20.8	0.629167
21.2	0.625
21.6	0.641667
22	0.6625
22.4	0.7
22.8	0.679167
23.2	0.708333
23.6	0.6875
24	0.733333
24.4	0.733333
24.8	0.745833
25.2	0.741667
25.6	0.754167
26	0.7625
26.4	0.7625
26.8	0.754167
27.2	0.766667
27.6	0.758333
28	0.766667
28.4	0.766667
28.8	0.758333
29.2	0.783333
29.6	0.8
30	0.795833
30.4	0.795833
30.8	0.8
31.2	0.808333
31.6	0.829167
32	0.820833
32.4	0.825
32.8	0.820833
33.2	0.8375
33.6	0.833333
34	0.8375
34.4	0.841667
34.8	0.845833
35.2	0.858333
35.6	0.870833
36	0.879167
36.4	0.8875
36.8	0.883333
37.2	0.9
37.6	0.904167
38	0.908333
38.4	0.904167
38.8	0.908333
39.2	0.908333
39.6	0.9
40	0.9
40.4	0.9
40.8	0.9125
41.2	0.929167
41.6	0.933333
42	0.945833
42.4	0.954167
42.8	0.954167
43.2	0.9625
43.6	0.966667
44	0.9625
44.4	0.9625
44.8	0.975
45.2	0.983333
45.6	0.991667
46	0.991667
46.4	0.995833
46.8	0.995833
47.2	0.995833
47.6	1
48	1
