#WindowWidth (s)	Efficiency
0.4	0.0708333
0.8	0.0583333
1.2	0.0583333
1.6	0.0708333
2	0.0958333
2.4	0.0708333
2.8	0.0791667
3.2	0.0708333
3.6	0.0833333
4	0.0833333
4.4	0.0875
4.8	0.0791667
5.2	0.1125
5.6	0.116667
6	0.120833
6.4	0.125
6.8	0.125
7.2	0.120833
7.6	0.145833
8	0.154167
8.4	0.15
8.8	0.141667
9.2	0.1375
9.6	0.145833
10	0.158333
10.4	0.15
10.8	0.170833
11.2	0.1625
11.6	0.179167
12	0.179167
12.4	0.1875
12.8	0.204167
13.2	0.195833
13.6	0.220833
14	0.216667
14.4	0.220833
14.8	0.2375
15.2	0.241667
15.6	0.254167
16	0.2625
16.4	0.2625
16.8	0.279167
17.2	0.2875
17.6	0.3125
18	0.308333
18.4	0.333333
18.8	0.333333
19.2	0.333333
19.6	0.35
20	0.341667
20.4	0.345833
20.8	0.354167
21.2	0.35
21.6	0.354167
22	0.358333
22.4	0.370833
22.8	0.366667
23.2	0.383333
23.6	0.370833
24	0.358333
24.4	0.358333
24.8	0.366667
25.2	0.379167
25.6	0.366667
26	0.35
26.4	0.35
26.8	0.329167
27.2	0.333333
27.6	0.329167
28	0.325
28.4	0.329167
28.8	0.325
29.2	0.320833
29.6	0.320833
30	0.320833
30.4	0.325
30.8	0.325
31.2	0.316667
31.6	0.325
32	0.333333
32.4	0.358333
32.8	0.345833
33.2	0.3625
33.6	0.35
34	0.358333
34.4	0.358333
34.8	0.354167
35.2	0.35
35.6	0.35
36	0.3625
36.4	0.358333
36.8	0.370833
37.2	0.366667
37.6	0.370833
38	0.35
38.4	0.345833
38.8	0.358333
39.2	0.341667
39.6	0.345833
40	0.345833
40.4	0.354167
40.8	0.35
41.2	0.354167
41.6	0.358333
42	0.3625
42.4	0.383333
42.8	0.379167
43.2	0.379167
43.6	0.379167
44	0.3875
44.4	0.391667
44.8	0.408333
45.2	0.416667
45.6	0.420833
46	0.429167
46.4	0.420833
46.8	0.433333
47.2	0.429167
47.6	0.433333
48	0.433333
