#WindowWidth (s)	Efficiency
0.4	0.0573529
0.8	0.0617647
1.2	0.0661765
1.6	0.0705882
2	0.0794118
2.4	0.0676471
2.8	0.0573529
3.2	0.0441176
3.6	0.0426471
4	0.05
4.4	0.0485294
4.8	0.0426471
5.2	0.0382353
5.6	0.0294118
6	0.0235294
6.4	0.0147059
6.8	0.0132353
7.2	0.0117647
7.6	0.0132353
8	0.0132353
8.4	0.0147059
8.8	0.0147059
9.2	0.0102941
9.6	0.00735294
10	0.00441176
10.4	0.00294118
10.8	0
11.2	0
11.6	0
12	0
12.4	0
12.8	0
13.2	0
13.6	0
14	0
14.4	0
14.8	0
15.2	0
15.6	0
16	0
16.4	0
16.8	0
17.2	0
17.6	0
18	0
18.4	0
18.8	0
19.2	0
19.6	0
20	0
20.4	0.00147059
20.8	0.00294118
21.2	0.00294118
21.6	0.00441176
22	0.00441176
22.4	0.00588235
22.8	0.00882353
23.2	0.0102941
23.6	0.0102941
24	0.0117647
24.4	0.0117647
24.8	0.0102941
25.2	0.0117647
25.6	0.0132353
26	0.0132353
26.4	0.0132353
26.8	0.0132353
27.2	0.0147059
27.6	0.0147059
28	0.0161765
28.4	0.0161765
28.8	0.0191176
29.2	0.0191176
29.6	0.0205882
30	0.0191176
30.4	0.0205882
30.8	0.0205882
31.2	0.0205882
31.6	0.0220588
32	0.0220588
32.4	0.0235294
32.8	0.0235294
33.2	0.025
33.6	0.0264706
34	0.0264706
34.4	0.0279412
34.8	0.0279412
35.2	0.0294118
35.6	0.0294118
36	0.0308824
36.4	0.0308824
36.8	0.0323529
37.2	0.0323529
37.6	0.0338235
38	0.0338235
38.4	0.0338235
38.8	0.0352941
39.2	0.0352941
39.6	0.0367647
40	0.0382353
40.4	0.0397059
40.8	0.0411765
41.2	0.0426471
41.6	0.0441176
42	0.0455882
42.4	0.0470588
42.8	0.0485294
43.2	0.05
43.6	0.0514706
44	0.0529412
44.4	0.0544118
44.8	0.0558824
45.2	0.0573529
45.6	0.0588235
46	0.0588235
46.4	0.0617647
46.8	0.0617647
47.2	0.0647059
47.6	0.0647059
48	0.0676471
