#WindowWidth (s)	Efficiency
0.4	0.0375
0.8	0.05
1.2	0.03125
1.6	0.05
2	0.06875
2.4	0.08125
2.8	0.0875
3.2	0.0875
3.6	0.09375
4	0.1
4.4	0.10625
4.8	0.11875
5.2	0.125
5.6	0.15
6	0.1625
6.4	0.1875
6.8	0.1875
7.2	0.20625
7.6	0.20625
8	0.21875
8.4	0.23125
8.8	0.2375
9.2	0.2375
9.6	0.24375
10	0.25
10.4	0.2625
10.8	0.2875
11.2	0.2875
11.6	0.2875
12	0.30625
12.4	0.3125
12.8	0.33125
13.2	0.325
13.6	0.33125
14	0.31875
14.4	0.33125
14.8	0.33125
15.2	0.3375
15.6	0.35
16	0.35
16.4	0.375
16.8	0.39375
17.2	0.3875
17.6	0.41875
18	0.425
18.4	0.4375
18.8	0.45625
19.2	0.45625
19.6	0.475
20	0.475
20.4	0.48125
20.8	0.46875
21.2	0.4875
21.6	0.4875
22	0.475
22.4	0.48125
22.8	0.48125
23.2	0.49375
23.6	0.50625
24	0.50625
24.4	0.50625
24.8	0.48125
25.2	0.4875
25.6	0.49375
26	0.4875
26.4	0.5
26.8	0.50625
27.2	0.5125
27.6	0.51875
28	0.525
28.4	0.53125
28.8	0.5375
29.2	0.54375
29.6	0.55
30	0.55625
30.4	0.5625
30.8	0.56875
31.2	0.575
31.6	0.58125
32	0.59375
32.4	0.59375
32.8	0.60625
33.2	0.60625
33.6	0.6125
34	0.61875
34.4	0.61875
34.8	0.63125
35.2	0.65
35.6	0.64375
36	0.65625
36.4	0.65625
36.8	0.6625
37.2	0.675
37.6	0.675
38	0.6875
38.4	0.6875
38.8	0.7
39.2	0.7
39.6	0.7125
40	0.7125
40.4	0.725
40.8	0.725
41.2	0.7375
41.6	0.7375
42	0.75
42.4	0.75
42.8	0.7625
43.2	0.7625
43.6	0.76875
44	0.775
44.4	0.78125
44.8	0.7875
45.2	0.7875
45.6	0.8
46	0.8125
46.4	0.8125
46.8	0.8125
47.2	0.8125
47.6	0.825
48	0.825
