#WindowWidth (s)	Efficiency
0.4	0.595588
0.8	0.770588
1.2	0.827941
1.6	0.870588
2	0.872059
2.4	0.886765
2.8	0.875
3.2	0.858824
3.6	0.833824
4	0.810294
4.4	0.789706
4.8	0.775
5.2	0.764706
5.6	0.741176
6	0.719118
6.4	0.705882
6.8	0.676471
7.2	0.658824
7.6	0.647059
8	0.635294
8.4	0.622059
8.8	0.608824
9.2	0.613235
9.6	0.601471
10	0.620588
10.4	0.626471
10.8	0.613235
11.2	0.619118
11.6	0.625
12	0.623529
12.4	0.629412
12.8	0.639706
13.2	0.645588
13.6	0.660294
14	0.664706
14.4	0.675
14.8	0.670588
15.2	0.666176
15.6	0.686765
16	0.695588
16.4	0.704412
16.8	0.713235
17.2	0.719118
17.6	0.725
18	0.733824
18.4	0.739706
18.8	0.752941
19.2	0.757353
19.6	0.763235
20	0.775
20.4	0.777941
20.8	0.792647
21.2	0.804412
21.6	0.817647
22	0.820588
22.4	0.827941
22.8	0.839706
23.2	0.845588
23.6	0.857353
24	0.866176
24.4	0.875
24.8	0.880882
25.2	0.886765
25.6	0.891176
26	0.897059
26.4	0.905882
26.8	0.907353
27.2	0.913235
27.6	0.917647
28	0.919118
28.4	0.920588
28.8	0.930882
29.2	0.926471
29.6	0.935294
30	0.935294
30.4	0.945588
30.8	0.947059
31.2	0.954412
31.6	0.957353
32	0.963235
32.4	0.960294
32.8	0.970588
33.2	0.975
33.6	0.980882
34	0.977941
34.4	0.975
34.8	0.982353
35.2	0.982353
35.6	0.985294
36	0.986765
36.4	0.991176
36.8	0.991176
37.2	0.994118
37.6	0.995588
38	1
38.4	0.997059
38.8	0.998529
39.2	0.997059
39.6	0.998529
40	0.997059
40.4	0.998529
40.8	1
41.2	1
41.6	1
42	1
42.4	1
42.8	1
43.2	1
43.6	1
44	1
44.4	1
44.8	1
45.2	1
45.6	1
46	1
46.4	1
46.8	1
47.2	1
47.6	1
48	1
