#WindowWidth (s)	Efficiency
0.4	0.282353
0.8	0.370588
1.2	0.383824
1.6	0.363235
2	0.351471
2.4	0.322059
2.8	0.313235
3.2	0.285294
3.6	0.270588
4	0.261765
4.4	0.247059
4.8	0.230882
5.2	0.220588
5.6	0.213235
6	0.186765
6.4	0.195588
6.8	0.172059
7.2	0.182353
7.6	0.175
8	0.175
8.4	0.179412
8.8	0.179412
9.2	0.177941
9.6	0.177941
10	0.180882
10.4	0.183824
10.8	0.189706
11.2	0.194118
11.6	0.197059
12	0.210294
12.4	0.210294
12.8	0.211765
13.2	0.202941
13.6	0.202941
14	0.201471
14.4	0.188235
14.8	0.186765
15.2	0.179412
15.6	0.180882
16	0.177941
16.4	0.186765
16.8	0.189706
17.2	0.194118
17.6	0.194118
18	0.191176
18.4	0.188235
18.8	0.189706
19.2	0.192647
19.6	0.194118
20	0.201471
20.4	0.211765
20.8	0.210294
21.2	0.210294
21.6	0.211765
22	0.222059
22.4	0.229412
22.8	0.232353
23.2	0.25
23.6	0.248529
24	0.263235
24.4	0.269118
24.8	0.267647
25.2	0.267647
25.6	0.275
26	0.289706
26.4	0.292647
26.8	0.310294
27.2	0.310294
27.6	0.319118
28	0.323529
28.4	0.332353
28.8	0.342647
29.2	0.351471
29.6	0.35
30	0.364706
30.4	0.367647
30.8	0.375
31.2	0.385294
31.6	0.391176
32	0.397059
32.4	0.413235
32.8	0.416176
33.2	0.427941
33.6	0.423529
34	0.429412
34.4	0.438235
34.8	0.429412
35.2	0.439706
35.6	0.441176
36	0.447059
36.4	0.448529
36.8	0.457353
37.2	0.466176
37.6	0.469118
38	0.477941
38.4	0.483824
38.8	0.485294
39.2	0.494118
39.6	0.489706
40	0.5
40.4	0.504412
40.8	0.508824
41.2	0.517647
41.6	0.520588
42	0.527941
42.4	0.536765
42.8	0.539706
43.2	0.542647
43.6	0.541176
44	0.541176
44.4	0.547059
44.8	0.545588
45.2	0.552941
45.6	0.552941
46	0.554412
46.4	0.567647
46.8	0.566176
47.2	0.576471
47.6	0.573529
48	0.577941
