#WindowWidth (s)	Efficiency
0.4	0.152941
0.8	0.175
1.2	0.210294
1.6	0.216176
2	0.207353
2.4	0.204412
2.8	0.186765
3.2	0.179412
3.6	0.172059
4	0.157353
4.4	0.157353
4.8	0.148529
5.2	0.141176
5.6	0.127941
6	0.111765
6.4	0.114706
6.8	0.108824
7.2	0.104412
7.6	0.104412
8	0.107353
8.4	0.1
8.8	0.0970588
9.2	0.101471
9.6	0.0955882
10	0.0970588
10.4	0.0985294
10.8	0.101471
11.2	0.0926471
11.6	0.0911765
12	0.0882353
12.4	0.0838235
12.8	0.0779412
13.2	0.0823529
13.6	0.0808824
14	0.0808824
14.4	0.0794118
14.8	0.0794118
15.2	0.075
15.6	0.0705882
16	0.0705882
16.4	0.0720588
16.8	0.0720588
17.2	0.0764706
17.6	0.0808824
18	0.0823529
18.4	0.0808824
18.8	0.0852941
19.2	0.0779412
19.6	0.0735294
20	0.0647059
20.4	0.0647059
20.8	0.0632353
21.2	0.0602941
21.6	0.0558824
22	0.0676471
22.4	0.0705882
22.8	0.0764706
23.2	0.0823529
23.6	0.0852941
24	0.0926471
24.4	0.0985294
24.8	0.102941
25.2	0.102941
25.6	0.101471
26	0.0985294
26.4	0.101471
26.8	0.101471
27.2	0.102941
27.6	0.102941
28	0.111765
28.4	0.114706
28.8	0.120588
29.2	0.123529
29.6	0.129412
30	0.129412
30.4	0.141176
30.8	0.148529
31.2	0.152941
31.6	0.155882
32	0.155882
32.4	0.158824
32.8	0.166176
33.2	0.172059
33.6	0.173529
34	0.177941
34.4	0.180882
34.8	0.183824
35.2	0.192647
35.6	0.197059
36	0.204412
36.4	0.207353
36.8	0.214706
37.2	0.219118
37.6	0.225
38	0.230882
38.4	0.232353
38.8	0.232353
39.2	0.235294
39.6	0.238235
40	0.248529
40.4	0.255882
40.8	0.258824
41.2	0.267647
41.6	0.264706
42	0.273529
42.4	0.276471
42.8	0.285294
43.2	0.289706
43.6	0.298529
44	0.304412
44.4	0.317647
44.8	0.329412
45.2	0.336765
45.6	0.347059
46	0.347059
46.4	0.35
46.8	0.358824
47.2	0.360294
47.6	0.370588
48	0.372059
