#WindowWidth (s)	Efficiency
0.4	0.0970588
0.8	0.111765
1.2	0.114706
1.6	0.108824
2	0.0882353
2.4	0.0735294
2.8	0.0632353
3.2	0.0558824
3.6	0.0470588
4	0.0426471
4.4	0.0470588
4.8	0.0441176
5.2	0.0470588
5.6	0.0411765
6	0.0426471
6.4	0.0397059
6.8	0.0367647
7.2	0.0397059
7.6	0.0367647
8	0.0323529
8.4	0.0308824
8.8	0.0294118
9.2	0.0323529
9.6	0.0352941
10	0.0382353
10.4	0.0338235
10.8	0.0338235
11.2	0.0382353
11.6	0.0470588
12	0.0441176
12.4	0.0455882
12.8	0.0485294
13.2	0.0573529
13.6	0.0573529
14	0.0617647
14.4	0.0676471
14.8	0.0676471
15.2	0.0661765
15.6	0.0661765
16	0.0676471
16.4	0.0676471
16.8	0.0735294
17.2	0.0676471
17.6	0.0705882
18	0.0691176
18.4	0.0720588
18.8	0.0720588
19.2	0.075
19.6	0.0720588
20	0.0735294
20.4	0.0779412
20.8	0.075
21.2	0.0794118
21.6	0.0823529
22	0.0838235
22.4	0.0808824
22.8	0.0823529
23.2	0.0808824
23.6	0.0852941
24	0.0867647
24.4	0.0882353
24.8	0.0911765
25.2	0.0970588
25.6	0.1
26	0.104412
26.4	0.113235
26.8	0.114706
27.2	0.120588
27.6	0.120588
28	0.120588
28.4	0.126471
28.8	0.125
29.2	0.133824
29.6	0.133824
30	0.130882
30.4	0.122059
30.8	0.119118
31.2	0.120588
31.6	0.120588
32	0.130882
32.4	0.130882
32.8	0.127941
33.2	0.126471
33.6	0.123529
34	0.122059
34.4	0.116176
34.8	0.113235
35.2	0.122059
35.6	0.119118
36	0.130882
36.4	0.135294
36.8	0.135294
37.2	0.138235
37.6	0.138235
38	0.144118
38.4	0.145588
38.8	0.15
39.2	0.145588
39.6	0.148529
40	0.147059
40.4	0.147059
40.8	0.148529
41.2	0.15
41.6	0.151471
42	0.151471
42.4	0.157353
42.8	0.158824
43.2	0.157353
43.6	0.157353
44	0.161765
44.4	0.163235
44.8	0.161765
45.2	0.170588
45.6	0.167647
46	0.166176
46.4	0.161765
46.8	0.155882
47.2	0.151471
47.6	0.151471
48	0.152941
