#WindowWidth (s)	Efficiency
0.4	0.0661765
0.8	0.0529412
1.2	0.0764706
1.6	0.05
2	0.0455882
2.4	0.0382353
2.8	0.0455882
3.2	0.0455882
3.6	0.0470588
4	0.0485294
4.4	0.0529412
4.8	0.0514706
5.2	0.0485294
5.6	0.0558824
6	0.0588235
6.4	0.0573529
6.8	0.0602941
7.2	0.0573529
7.6	0.0529412
8	0.0558824
8.4	0.0529412
8.8	0.0544118
9.2	0.05
9.6	0.0441176
10	0.0397059
10.4	0.0367647
10.8	0.0367647
11.2	0.0382353
11.6	0.0338235
12	0.0308824
12.4	0.0294118
12.8	0.0264706
13.2	0.0264706
13.6	0.0235294
14	0.0235294
14.4	0.0205882
14.8	0.0176471
15.2	0.0161765
15.6	0.0132353
16	0.0102941
16.4	0.0102941
16.8	0.00735294
17.2	0
17.6	0
18	0
18.4	0
18.8	0
19.2	0
19.6	0.00294118
20	0.00735294
20.4	0.0102941
20.8	0.0132353
21.2	0.0191176
21.6	0.0191176
22	0.0235294
22.4	0.0235294
22.8	0.025
23.2	0.025
23.6	0.0294118
24	0.0308824
24.4	0.0323529
24.8	0.0338235
25.2	0.0352941
25.6	0.0367647
26	0.0411765
26.4	0.0382353
26.8	0.0411765
27.2	0.0426471
27.6	0.0470588
28	0.0485294
28.4	0.05
28.8	0.0529412
29.2	0.0544118
29.6	0.0529412
30	0.0558824
30.4	0.0602941
30.8	0.0602941
31.2	0.0617647
31.6	0.0617647
32	0.0632353
32.4	0.0676471
32.8	0.0661765
33.2	0.0691176
33.6	0.0691176
34	0.0705882
34.4	0.0720588
34.8	0.0764706
35.2	0.0764706
35.6	0.0794118
36	0.0852941
36.4	0.0941176
36.8	0.1
37.2	0.105882
37.6	0.108824
38	0.107353
38.4	0.113235
38.8	0.114706
39.2	0.117647
39.6	0.120588
40	0.120588
40.4	0.126471
40.8	0.125
41.2	0.129412
41.6	0.130882
42	0.130882
42.4	0.129412
42.8	0.132353
43.2	0.133824
43.6	0.136765
44	0.139706
44.4	0.142647
44.8	0.142647
45.2	0.141176
45.6	0.151471
46	0.147059
46.4	0.158824
46.8	0.158824
47.2	0.157353
47.6	0.163235
48	0.160294
