#WindowWidth (s)	Efficiency
0.4	0.0779412
0.8	0.0911765
1.2	0.0985294
1.6	0.0911765
2	0.0852941
2.4	0.0808824
2.8	0.075
3.2	0.075
3.6	0.0838235
4	0.0838235
4.4	0.0823529
4.8	0.0794118
5.2	0.0808824
5.6	0.0720588
6	0.0735294
6.4	0.0808824
6.8	0.0823529
7.2	0.0838235
7.6	0.0838235
8	0.0764706
8.4	0.0764706
8.8	0.0779412
9.2	0.0779412
9.6	0.0794118
10	0.0823529
10.4	0.0823529
10.8	0.0882353
11.2	0.0926471
11.6	0.0911765
12	0.0955882
12.4	0.0970588
12.8	0.0941176
13.2	0.0926471
13.6	0.0955882
14	0.101471
14.4	0.105882
14.8	0.105882
15.2	0.108824
15.6	0.107353
16	0.114706
16.4	0.117647
16.8	0.125
17.2	0.119118
17.6	0.120588
18	0.123529
18.4	0.123529
18.8	0.130882
19.2	0.136765
19.6	0.142647
20	0.147059
20.4	0.148529
20.8	0.152941
21.2	0.155882
21.6	0.161765
22	0.166176
22.4	0.172059
22.8	0.172059
23.2	0.177941
23.6	0.180882
24	0.180882
24.4	0.186765
24.8	0.186765
25.2	0.185294
25.6	0.188235
26	0.188235
26.4	0.191176
26.8	0.192647
27.2	0.191176
27.6	0.195588
28	0.194118
28.4	0.198529
28.8	0.201471
29.2	0.202941
29.6	0.207353
30	0.213235
30.4	0.216176
30.8	0.222059
31.2	0.223529
31.6	0.239706
32	0.241176
32.4	0.244118
32.8	0.247059
33.2	0.251471
33.6	0.255882
34	0.258824
34.4	0.264706
34.8	0.270588
35.2	0.273529
35.6	0.280882
36	0.289706
36.4	0.291176
36.8	0.302941
37.2	0.305882
37.6	0.320588
38	0.332353
38.4	0.338235
38.8	0.341176
39.2	0.351471
39.6	0.351471
40	0.358824
40.4	0.366176
40.8	0.373529
41.2	0.376471
41.6	0.382353
42	0.389706
42.4	0.395588
42.8	0.407353
43.2	0.413235
43.6	0.416176
44	0.419118
44.4	0.422059
44.8	0.422059
45.2	0.429412
45.6	0.438235
46	0.444118
46.4	0.452941
46.8	0.458824
47.2	0.470588
47.6	0.477941
48	0.483824
