#WindowWidth (s)	Efficiency
0.4	0.0705882
0.8	0.0852941
1.2	0.0911765
1.6	0.101471
2	0.108824
2.4	0.111765
2.8	0.101471
3.2	0.101471
3.6	0.0985294
4	0.0941176
4.4	0.0823529
4.8	0.0808824
5.2	0.0720588
5.6	0.0676471
6	0.0647059
6.4	0.0602941
6.8	0.0529412
7.2	0.0470588
7.6	0.0485294
8	0.0514706
8.4	0.0397059
8.8	0.0397059
9.2	0.0411765
9.6	0.0382353
10	0.0352941
10.4	0.0323529
10.8	0.0352941
11.2	0.0323529
11.6	0.0323529
12	0.0294118
12.4	0.0279412
12.8	0.0294118
13.2	0.0294118
13.6	0.0308824
14	0.0294118
14.4	0.0294118
14.8	0.0279412
15.2	0.025
15.6	0.025
16	0.0279412
16.4	0.0279412
16.8	0.0294118
17.2	0.0294118
17.6	0.0279412
18	0.0264706
18.4	0.0279412
18.8	0.0264706
19.2	0.025
19.6	0.0264706
20	0.025
20.4	0.0264706
20.8	0.025
21.2	0.0264706
21.6	0.0294118
22	0.0279412
22.4	0.0264706
22.8	0.0323529
23.2	0.0338235
23.6	0.0352941
24	0.0338235
24.4	0.0352941
24.8	0.0367647
25.2	0.0367647
25.6	0.0382353
26	0.0367647
26.4	0.0382353
26.8	0.0397059
27.2	0.0397059
27.6	0.0426471
28	0.0426471
28.4	0.0441176
28.8	0.0470588
29.2	0.0485294
29.6	0.0485294
30	0.05
30.4	0.0544118
30.8	0.0558824
31.2	0.0573529
31.6	0.0602941
32	0.0632353
32.4	0.0647059
32.8	0.0676471
33.2	0.0691176
33.6	0.0720588
34	0.0720588
34.4	0.075
34.8	0.0764706
35.2	0.0794118
35.6	0.0808824
36	0.0823529
36.4	0.0838235
36.8	0.0852941
37.2	0.0867647
37.6	0.0867647
38	0.0867647
38.4	0.0867647
38.8	0.0882353
39.2	0.0926471
39.6	0.0926471
40	0.0926471
40.4	0.0897059
40.8	0.0882353
41.2	0.0852941
41.6	0.0882353
42	0.0882353
42.4	0.0897059
42.8	0.0911765
43.2	0.0867647
43.6	0.0897059
44	0.0926471
44.4	0.0911765
44.8	0.0867647
45.2	0.0882353
45.6	0.0808824
46	0.0897059
46.4	0.0838235
46.8	0.0838235
47.2	0.0779412
47.6	0.0808824
48	0.075
