#WindowWidth (s)	Efficiency
0.4	0.202941
0.8	0.241176
1.2	0.255882
1.6	0.257353
2	0.25
2.4	0.230882
2.8	0.201471
3.2	0.179412
3.6	0.176471
4	0.170588
4.4	0.148529
4.8	0.135294
5.2	0.129412
5.6	0.122059
6	0.111765
6.4	0.108824
6.8	0.107353
7.2	0.102941
7.6	0.107353
8	0.108824
8.4	0.0941176
8.8	0.0926471
9.2	0.0882353
9.6	0.0838235
10	0.0794118
10.4	0.0705882
10.8	0.0720588
11.2	0.0720588
11.6	0.075
12	0.0764706
12.4	0.0808824
12.8	0.0794118
13.2	0.0852941
13.6	0.0852941
14	0.0808824
14.4	0.0779412
14.8	0.0705882
15.2	0.0720588
15.6	0.075
16	0.0794118
16.4	0.0852941
16.8	0.0897059
17.2	0.0911765
17.6	0.0970588
18	0.105882
18.4	0.110294
18.8	0.111765
19.2	0.119118
19.6	0.113235
20	0.117647
20.4	0.117647
20.8	0.117647
21.2	0.123529
21.6	0.132353
22	0.132353
22.4	0.135294
22.8	0.147059
23.2	0.152941
23.6	0.152941
24	0.158824
24.4	0.157353
24.8	0.161765
25.2	0.166176
25.6	0.173529
26	0.172059
26.4	0.169118
26.8	0.177941
27.2	0.180882
27.6	0.180882
28	0.189706
28.4	0.2
28.8	0.208824
29.2	0.207353
29.6	0.219118
30	0.216176
30.4	0.230882
30.8	0.226471
31.2	0.223529
31.6	0.222059
32	0.226471
32.4	0.227941
32.8	0.233824
33.2	0.236765
33.6	0.245588
34	0.254412
34.4	0.258824
34.8	0.260294
35.2	0.263235
35.6	0.267647
36	0.275
36.4	0.283824
36.8	0.291176
37.2	0.288235
37.6	0.3
38	0.304412
38.4	0.294118
38.8	0.295588
39.2	0.295588
39.6	0.295588
40	0.298529
40.4	0.298529
40.8	0.3
41.2	0.298529
41.6	0.301471
42	0.302941
42.4	0.302941
42.8	0.3
43.2	0.301471
43.6	0.3
44	0.307353
44.4	0.314706
44.8	0.316176
45.2	0.317647
45.6	0.322059
46	0.329412
46.4	0.332353
46.8	0.336765
47.2	0.35
47.6	0.360294
48	0.367647
