#WindowWidth (s)	Efficiency
0.4	0.05
0.8	0.0416667
1.2	0.0875
1.6	0.075
2	0.0875
2.4	0.0791667
2.8	0.0791667
3.2	0.0791667
3.6	0.0666667
4	0.0625
4.4	0.0791667
4.8	0.0791667
5.2	0.0958333
5.6	0.0916667
6	0.0958333
6.4	0.108333
6.8	0.108333
7.2	0.125
7.6	0.129167
8	0.133333
8.4	0.145833
8.8	0.145833
9.2	0.1625
9.6	0.145833
10	0.158333
10.4	0.145833
10.8	0.15
11.2	0.15
11.6	0.158333
12	0.158333
12.4	0.183333
12.8	0.170833
13.2	0.175
13.6	0.170833
14	0.166667
14.4	0.166667
14.8	0.158333
15.2	0.166667
15.6	0.183333
16	0.175
16.4	0.2
16.8	0.208333
17.2	0.220833
17.6	0.216667
18	0.233333
18.4	0.220833
18.8	0.229167
19.2	0.2375
19.6	0.245833
20	0.241667
20.4	0.258333
20.8	0.2625
21.2	0.279167
21.6	0.275
22	0.270833
22.4	0.270833
22.8	0.283333
23.2	0.279167
23.6	0.283333
24	0.279167
24.4	0.304167
24.8	0.308333
25.2	0.316667
25.6	0.308333
26	0.304167
26.4	0.308333
26.8	0.308333
27.2	0.308333
27.6	0.3
28	0.308333
28.4	0.316667
28.8	0.3
29.2	0.316667
29.6	0.3
30	0.304167
30.4	0.295833
30.8	0.304167
31.2	0.3
31.6	0.304167
32	0.304167
32.4	0.3
32.8	0.3
33.2	0.3125
33.6	0.291667
34	0.2875
34.4	0.3
34.8	0.308333
35.2	0.345833
35.6	0.333333
36	0.35
36.4	0.345833
36.8	0.366667
37.2	0.358333
37.6	0.370833
38	0.370833
38.4	0.375
38.8	0.383333
39.2	0.383333
39.6	0.395833
40	0.375
40.4	0.4
40.8	0.4
41.2	0.420833
41.6	0.416667
42	0.429167
42.4	0.425
42.8	0.425
43.2	0.420833
43.6	0.4375
44	0.433333
44.4	0.445833
44.8	0.45
45.2	0.458333
45.6	0.4625
46	0.475
46.4	0.458333
46.8	0.470833
47.2	0.466667
47.6	0.466667
48	0.4625
