#WindowWidth (s)	Efficiency
0.4	0.0625
0.8	0.0791667
1.2	0.075
1.6	0.0791667
2	0.075
2.4	0.075
2.8	0.0916667
3.2	0.0916667
3.6	0.1
4	0.104167
4.4	0.1125
4.8	0.116667
5.2	0.133333
5.6	0.133333
6	0.1375
6.4	0.158333
6.8	0.166667
7.2	0.166667
7.6	0.179167
8	0.183333
8.4	0.191667
8.8	0.1875
9.2	0.1875
9.6	0.195833
10	0.195833
10.4	0.2
10.8	0.2
11.2	0.2
11.6	0.208333
12	0.2125
12.4	0.220833
12.8	0.216667
13.2	0.233333
13.6	0.225
14	0.225
14.4	0.220833
14.8	0.229167
15.2	0.225
15.6	0.2375
16	0.2375
16.4	0.2375
16.8	0.241667
17.2	0.245833
17.6	0.233333
18	0.241667
18.4	0.241667
18.8	0.254167
19.2	0.241667
19.6	0.254167
20	0.25
20.4	0.25
20.8	0.254167
21.2	0.254167
21.6	0.254167
22	0.258333
22.4	0.254167
22.8	0.2625
23.2	0.2625
23.6	0.266667
24	0.266667
24.4	0.270833
24.8	0.275
25.2	0.279167
25.6	0.279167
26	0.2875
26.4	0.2875
26.8	0.295833
27.2	0.291667
27.6	0.304167
28	0.304167
28.4	0.3125
28.8	0.3125
29.2	0.320833
29.6	0.316667
30	0.329167
30.4	0.329167
30.8	0.329167
31.2	0.341667
31.6	0.341667
32	0.3375
32.4	0.341667
32.8	0.35
33.2	0.35
33.6	0.366667
34	0.370833
34.4	0.383333
34.8	0.395833
35.2	0.395833
35.6	0.408333
36	0.4125
36.4	0.416667
36.8	0.425
37.2	0.429167
37.6	0.429167
38	0.4375
38.4	0.45
38.8	0.458333
39.2	0.454167
39.6	0.454167
40	0.470833
40.4	0.466667
40.8	0.466667
41.2	0.4625
41.6	0.466667
42	0.479167
42.4	0.475
42.8	0.483333
43.2	0.475
43.6	0.479167
44	0.475
44.4	0.475
44.8	0.4625
45.2	0.470833
45.6	0.470833
46	0.458333
46.4	0.466667
46.8	0.475
47.2	0.475
47.6	0.475
48	0.483333
