#WindowWidth (s)	Efficiency
0.4	0.0875
0.8	0.125
1.2	0.15
1.6	0.158333
2	0.175
2.4	0.179167
2.8	0.2
3.2	0.225
3.6	0.241667
4	0.233333
4.4	0.258333
4.8	0.241667
5.2	0.2625
5.6	0.283333
6	0.2875
6.4	0.291667
6.8	0.291667
7.2	0.2875
7.6	0.304167
8	0.3125
8.4	0.320833
8.8	0.325
9.2	0.341667
9.6	0.354167
10	0.354167
10.4	0.3625
10.8	0.3625
11.2	0.366667
11.6	0.395833
12	0.4
12.4	0.429167
12.8	0.445833
13.2	0.466667
13.6	0.4625
14	0.479167
14.4	0.479167
14.8	0.491667
15.2	0.483333
15.6	0.504167
16	0.529167
16.4	0.5375
16.8	0.533333
17.2	0.558333
17.6	0.554167
18	0.5875
18.4	0.579167
18.8	0.595833
19.2	0.591667
19.6	0.6
20	0.591667
20.4	0.6
20.8	0.595833
21.2	0.595833
21.6	0.595833
22	0.6
22.4	0.6
22.8	0.604167
23.2	0.595833
23.6	0.604167
24	0.604167
24.4	0.6125
24.8	0.6125
25.2	0.620833
25.6	0.620833
26	0.633333
26.4	0.629167
26.8	0.641667
27.2	0.65
27.6	0.666667
28	0.670833
28.4	0.679167
28.8	0.679167
29.2	0.695833
29.6	0.7
30	0.708333
30.4	0.7125
30.8	0.720833
31.2	0.733333
31.6	0.7375
32	0.741667
32.4	0.741667
32.8	0.75
33.2	0.75
33.6	0.754167
34	0.754167
34.4	0.754167
34.8	0.758333
35.2	0.7625
35.6	0.7625
36	0.766667
36.4	0.766667
36.8	0.770833
37.2	0.770833
37.6	0.779167
38	0.779167
38.4	0.779167
38.8	0.7875
39.2	0.7875
39.6	0.795833
40	0.791667
40.4	0.8
40.8	0.8
41.2	0.804167
41.6	0.8125
42	0.8125
42.4	0.816667
42.8	0.825
43.2	0.825
43.6	0.8375
44	0.85
44.4	0.854167
44.8	0.8625
45.2	0.875
45.6	0.875
46	0.8875
46.4	0.895833
46.8	0.908333
47.2	0.9125
47.6	0.916667
48	0.929167
