#WindowWidth (s)	Efficiency
0.4	0.0708333
0.8	0.108333
1.2	0.108333
1.6	0.0916667
2	0.116667
2.4	0.1
2.8	0.104167
3.2	0.1
3.6	0.129167
4	0.1375
4.4	0.120833
4.8	0.125
5.2	0.1125
5.6	0.133333
6	0.129167
6.4	0.120833
6.8	0.120833
7.2	0.141667
7.6	0.133333
8	0.154167
8.4	0.1625
8.8	0.166667
9.2	0.179167
9.6	0.1875
10	0.208333
10.4	0.195833
10.8	0.2125
11.2	0.204167
11.6	0.2125
12	0.216667
12.4	0.241667
12.8	0.225
13.2	0.233333
13.6	0.245833
14	0.241667
14.4	0.25
14.8	0.270833
15.2	0.275
15.6	0.3
16	0.3
16.4	0.316667
16.8	0.325
17.2	0.3375
17.6	0.341667
18	0.354167
18.4	0.345833
18.8	0.354167
19.2	0.3375
19.6	0.3375
20	0.345833
20.4	0.341667
20.8	0.3375
21.2	0.333333
21.6	0.345833
22	0.35
22.4	0.35
22.8	0.35
23.2	0.358333
23.6	0.3625
24	0.370833
24.4	0.375
24.8	0.383333
25.2	0.391667
25.6	0.4
26	0.408333
26.4	0.420833
26.8	0.408333
27.2	0.416667
27.6	0.416667
28	0.425
28.4	0.425
28.8	0.429167
29.2	0.425
29.6	0.433333
30	0.429167
30.4	0.429167
30.8	0.4375
31.2	0.4375
31.6	0.433333
32	0.429167
32.4	0.429167
32.8	0.4375
33.2	0.433333
33.6	0.441667
34	0.420833
34.4	0.4375
34.8	0.433333
35.2	0.433333
35.6	0.4375
36	0.441667
36.4	0.433333
36.8	0.4375
37.2	0.45
37.6	0.470833
38	0.466667
38.4	0.479167
38.8	0.483333
39.2	0.495833
39.6	0.4875
40	0.504167
40.4	0.504167
40.8	0.504167
41.2	0.525
41.6	0.516667
42	0.5125
42.4	0.516667
42.8	0.508333
43.2	0.516667
43.6	0.5125
44	0.525
44.4	0.520833
44.8	0.533333
45.2	0.533333
45.6	0.541667
46	0.541667
46.4	0.558333
46.8	0.558333
47.2	0.566667
47.6	0.566667
48	0.583333
