#WindowWidth (s)	Efficiency
0.4	0.0416667
0.8	0.0958333
1.2	0.05
1.6	0.0833333
2	0.0583333
2.4	0.0625
2.8	0.05
3.2	0.05
3.6	0.0625
4	0.0708333
4.4	0.0708333
4.8	0.05
5.2	0.0791667
5.6	0.0666667
6	0.0708333
6.4	0.0791667
6.8	0.0833333
7.2	0.0833333
7.6	0.0875
8	0.0875
8.4	0.0791667
8.8	0.0833333
9.2	0.0916667
9.6	0.108333
10	0.104167
10.4	0.116667
10.8	0.120833
11.2	0.141667
11.6	0.129167
12	0.1375
12.4	0.1625
12.8	0.166667
13.2	0.191667
13.6	0.208333
14	0.1875
14.4	0.191667
14.8	0.2125
15.2	0.220833
15.6	0.229167
16	0.241667
16.4	0.245833
16.8	0.241667
17.2	0.25
17.6	0.2625
18	0.241667
18.4	0.241667
18.8	0.241667
19.2	0.254167
19.6	0.233333
20	0.266667
20.4	0.2625
20.8	0.270833
21.2	0.2875
21.6	0.304167
22	0.308333
22.4	0.316667
22.8	0.325
23.2	0.35
23.6	0.375
24	0.383333
24.4	0.370833
24.8	0.383333
25.2	0.3875
25.6	0.391667
26	0.408333
26.4	0.4125
26.8	0.433333
27.2	0.4375
27.6	0.445833
28	0.458333
28.4	0.45
28.8	0.4625
29.2	0.454167
29.6	0.458333
30	0.445833
30.4	0.458333
30.8	0.475
31.2	0.470833
31.6	0.4875
32	0.4875
32.4	0.483333
32.8	0.483333
33.2	0.479167
33.6	0.470833
34	0.483333
34.4	0.466667
34.8	0.483333
35.2	0.5
35.6	0.5
36	0.508333
36.4	0.529167
36.8	0.533333
37.2	0.558333
37.6	0.558333
38	0.5875
38.4	0.583333
38.8	0.5875
39.2	0.575
39.6	0.6
40	0.591667
40.4	0.595833
40.8	0.5875
41.2	0.604167
41.6	0.604167
42	0.616667
42.4	0.6125
42.8	0.625
43.2	0.625
43.6	0.6375
44	0.645833
44.4	0.654167
44.8	0.645833
45.2	0.658333
45.6	0.654167
46	0.658333
46.4	0.675
46.8	0.675
47.2	0.7
47.6	0.7125
48	0.725
