#WindowWidth (s)	Efficiency
0.4	0.0791667
0.8	0.0666667
1.2	0.0625
1.6	0.0416667
2	0.0333333
2.4	0.0416667
2.8	0.0375
3.2	0.0375
3.6	0.0291667
4	0.0333333
4.4	0.0333333
4.8	0.0458333
5.2	0.0333333
5.6	0.025
6	0.0208333
6.4	0.0291667
6.8	0.025
7.2	0.0208333
7.6	0.0125
8	0.0333333
8.4	0.0208333
8.8	0.0375
9.2	0.0291667
9.6	0.0291667
10	0.025
10.4	0.025
10.8	0.025
11.2	0.0208333
11.6	0.025
12	0.025
12.4	0.0291667
12.8	0.0208333
13.2	0.025
13.6	0.0208333
14	0.0208333
14.4	0.0208333
14.8	0.0208333
15.2	0.0166667
15.6	0.0166667
16	0.0125
16.4	0.0291667
16.8	0.0291667
17.2	0.0166667
17.6	0.0166667
18	0
18.4	0.00416667
18.8	0
19.2	0.00416667
19.6	0.00416667
20	0.00416667
20.4	0.00416667
20.8	0.00416667
21.2	0.00416667
21.6	0.00833333
22	0.00416667
22.4	0.00833333
22.8	0.0166667
23.2	0.00833333
23.6	0.0208333
24	0.0208333
24.4	0.025
24.8	0.0333333
25.2	0.0333333
25.6	0.0416667
26	0.0541667
26.4	0.05
26.8	0.0625
27.2	0.0583333
27.6	0.0708333
28	0.0666667
28.4	0.0791667
28.8	0.0875
29.2	0.0916667
29.6	0.1
30	0.1125
30.4	0.108333
30.8	0.116667
31.2	0.116667
31.6	0.125
32	0.125
32.4	0.125
32.8	0.125
33.2	0.1125
33.6	0.1
34	0.104167
34.4	0.0958333
34.8	0.1
35.2	0.1
35.6	0.1125
36	0.116667
36.4	0.104167
36.8	0.104167
37.2	0.1
37.6	0.104167
38	0.1
38.4	0.0916667
38.8	0.1
39.2	0.1
39.6	0.108333
40	0.108333
40.4	0.116667
40.8	0.125
41.2	0.129167
41.6	0.133333
42	0.145833
42.4	0.141667
42.8	0.1625
43.2	0.170833
43.6	0.170833
44	0.1875
44.4	0.1875
44.8	0.195833
45.2	0.179167
45.6	0.191667
46	0.1875
46.4	0.191667
46.8	0.204167
47.2	0.195833
47.6	0.204167
48	0.204167
