#WindowWidth (s)	Efficiency
0.4	0.075
0.8	0.0833333
1.2	0.1
1.6	0.108333
2	0.125
2.4	0.116667
2.8	0.125
3.2	0.129167
3.6	0.141667
4	0.141667
4.4	0.145833
4.8	0.145833
5.2	0.170833
5.6	0.158333
6	0.1625
6.4	0.170833
6.8	0.170833
7.2	0.179167
7.6	0.191667
8	0.170833
8.4	0.183333
8.8	0.1625
9.2	0.170833
9.6	0.170833
10	0.175
10.4	0.191667
10.8	0.195833
11.2	0.183333
11.6	0.191667
12	0.2
12.4	0.175
12.8	0.1625
13.2	0.166667
13.6	0.183333
14	0.191667
14.4	0.179167
14.8	0.2
15.2	0.2
15.6	0.204167
16	0.2375
16.4	0.25
16.8	0.279167
17.2	0.2875
17.6	0.304167
18	0.291667
18.4	0.316667
18.8	0.3375
19.2	0.341667
19.6	0.329167
20	0.316667
20.4	0.316667
20.8	0.3
21.2	0.320833
21.6	0.3125
22	0.320833
22.4	0.320833
22.8	0.333333
23.2	0.333333
23.6	0.329167
24	0.333333
24.4	0.345833
24.8	0.35
25.2	0.354167
25.6	0.354167
26	0.35
26.4	0.345833
26.8	0.341667
27.2	0.3625
27.6	0.366667
28	0.395833
28.4	0.391667
28.8	0.383333
29.2	0.3875
29.6	0.391667
30	0.391667
30.4	0.425
30.8	0.425
31.2	0.458333
31.6	0.4375
32	0.4625
32.4	0.475
32.8	0.4875
33.2	0.466667
33.6	0.491667
34	0.491667
34.4	0.495833
34.8	0.491667
35.2	0.5
35.6	0.5125
36	0.495833
36.4	0.495833
36.8	0.495833
37.2	0.495833
37.6	0.495833
38	0.508333
38.4	0.504167
38.8	0.504167
39.2	0.504167
39.6	0.508333
40	0.508333
40.4	0.516667
40.8	0.516667
41.2	0.529167
41.6	0.554167
42	0.541667
42.4	0.545833
42.8	0.554167
43.2	0.5625
43.6	0.575
44	0.583333
44.4	0.575
44.8	0.583333
45.2	0.591667
45.6	0.583333
46	0.579167
46.4	0.5875
46.8	0.595833
47.2	0.604167
47.6	0.595833
48	0.595833
