#WindowWidth (s)	Efficiency
0.4	0.0916667
0.8	0.0916667
1.2	0.120833
1.6	0.0916667
2	0.1
2.4	0.0833333
2.8	0.0708333
3.2	0.0666667
3.6	0.0625
4	0.0666667
4.4	0.0583333
4.8	0.0625
5.2	0.0583333
5.6	0.0625
6	0.0541667
6.4	0.0375
6.8	0.0333333
7.2	0.0333333
7.6	0.0375
8	0.0333333
8.4	0.0375
8.8	0.0291667
9.2	0.0458333
9.6	0.0416667
10	0.0416667
10.4	0.0333333
10.8	0.0375
11.2	0.0291667
11.6	0.0375
12	0.0458333
12.4	0.0583333
12.8	0.05
13.2	0.0458333
13.6	0.05
14	0.0458333
14.4	0.0416667
14.8	0.0416667
15.2	0.0416667
15.6	0.0416667
16	0.0375
16.4	0.0375
16.8	0.0416667
17.2	0.0375
17.6	0.0333333
18	0.0416667
18.4	0.0416667
18.8	0.0416667
19.2	0.0375
19.6	0.0375
20	0.0375
20.4	0.0291667
20.8	0.0291667
21.2	0.0333333
21.6	0.025
22	0.0333333
22.4	0.0291667
22.8	0.0291667
23.2	0.0291667
23.6	0.0291667
24	0.0291667
24.4	0.0291667
24.8	0.0291667
25.2	0.0333333
25.6	0.0333333
26	0.0291667
26.4	0.0291667
26.8	0.0291667
27.2	0.025
27.6	0.0291667
28	0.025
28.4	0.0291667
28.8	0.0208333
29.2	0.025
29.6	0.0166667
30	0.0166667
30.4	0.0208333
30.8	0.0166667
31.2	0.0208333
31.6	0.0166667
32	0.0208333
32.4	0.0291667
32.8	0.025
33.2	0.0375
33.6	0.0416667
34	0.0416667
34.4	0.0458333
34.8	0.05
35.2	0.05
35.6	0.05
36	0.0541667
36.4	0.05
36.8	0.0541667
37.2	0.0541667
37.6	0.0583333
38	0.0583333
38.4	0.0666667
38.8	0.0583333
39.2	0.0583333
39.6	0.0625
40	0.0666667
40.4	0.0625
40.8	0.0708333
41.2	0.0791667
41.6	0.075
42	0.0791667
42.4	0.0791667
42.8	0.0791667
43.2	0.0791667
43.6	0.0791667
44	0.0833333
44.4	0.0791667
44.8	0.0833333
45.2	0.0791667
45.6	0.0833333
46	0.0791667
46.4	0.0833333
46.8	0.0833333
47.2	0.0875
47.6	0.0875
48	0.0916667
