#WindowWidth (s)	Efficiency
0.4	0.1
0.8	0.104167
1.2	0.1
1.6	0.108333
2	0.129167
2.4	0.141667
2.8	0.15
3.2	0.158333
3.6	0.1625
4	0.175
4.4	0.1625
4.8	0.170833
5.2	0.179167
5.6	0.1875
6	0.191667
6.4	0.204167
6.8	0.204167
7.2	0.208333
7.6	0.208333
8	0.2125
8.4	0.208333
8.8	0.2125
9.2	0.2125
9.6	0.2125
10	0.2125
10.4	0.2125
10.8	0.216667
11.2	0.2125
11.6	0.216667
12	0.220833
12.4	0.233333
12.8	0.2375
13.2	0.233333
13.6	0.25
14	0.254167
14.4	0.25
14.8	0.2625
15.2	0.2625
15.6	0.275
16	0.266667
16.4	0.279167
16.8	0.275
17.2	0.270833
17.6	0.270833
18	0.270833
18.4	0.275
18.8	0.275
19.2	0.279167
19.6	0.279167
20	0.275
20.4	0.270833
20.8	0.275
21.2	0.270833
21.6	0.270833
22	0.275
22.4	0.258333
22.8	0.266667
23.2	0.270833
23.6	0.275
24	0.266667
24.4	0.270833
24.8	0.270833
25.2	0.279167
25.6	0.275
26	0.2875
26.4	0.279167
26.8	0.291667
27.2	0.295833
27.6	0.291667
28	0.295833
28.4	0.3
28.8	0.308333
29.2	0.3125
29.6	0.325
30	0.345833
30.4	0.354167
30.8	0.370833
31.2	0.366667
31.6	0.379167
32	0.383333
32.4	0.391667
32.8	0.391667
33.2	0.4125
33.6	0.4125
34	0.4125
34.4	0.416667
34.8	0.416667
35.2	0.416667
35.6	0.416667
36	0.4125
36.4	0.408333
36.8	0.408333
37.2	0.404167
37.6	0.4125
38	0.408333
38.4	0.4125
38.8	0.416667
39.2	0.4125
39.6	0.4125
40	0.404167
40.4	0.408333
40.8	0.408333
41.2	0.4125
41.6	0.404167
42	0.408333
42.4	0.404167
42.8	0.404167
43.2	0.404167
43.6	0.416667
44	0.425
44.4	0.429167
44.8	0.445833
45.2	0.445833
45.6	0.45
46	0.454167
46.4	0.458333
46.8	0.4625
47.2	0.466667
47.6	0.470833
48	0.470833
