#WindowWidth (s)	Efficiency
0.4	0.0625
0.8	0.0916667
1.2	0.0875
1.6	0.0833333
2	0.0625
2.4	0.0541667
2.8	0.0541667
3.2	0.05
3.6	0.0375
4	0.0375
4.4	0.05
4.8	0.0416667
5.2	0.0458333
5.6	0.0416667
6	0.0291667
6.4	0.0291667
6.8	0.0291667
7.2	0.0458333
7.6	0.0416667
8	0.05
8.4	0.0375
8.8	0.0375
9.2	0.0375
9.6	0.0416667
10	0.0416667
10.4	0.0458333
10.8	0.0458333
11.2	0.05
11.6	0.0333333
12	0.0416667
12.4	0.0291667
12.8	0.025
13.2	0.0291667
13.6	0.0458333
14	0.0375
14.4	0.05
14.8	0.05
15.2	0.0541667
15.6	0.05
16	0.0583333
16.4	0.05
16.8	0.0625
17.2	0.0541667
17.6	0.0541667
18	0.0583333
18.4	0.0625
18.8	0.0708333
19.2	0.0666667
19.6	0.0666667
20	0.0791667
20.4	0.0958333
20.8	0.104167
21.2	0.104167
21.6	0.0958333
22	0.0958333
22.4	0.0958333
22.8	0.0958333
23.2	0.1125
23.6	0.108333
24	0.116667
24.4	0.129167
24.8	0.133333
25.2	0.133333
25.6	0.141667
26	0.133333
26.4	0.1125
26.8	0.120833
27.2	0.1125
27.6	0.133333
28	0.141667
28.4	0.158333
28.8	0.166667
29.2	0.1875
29.6	0.175
30	0.195833
30.4	0.183333
30.8	0.1875
31.2	0.204167
31.6	0.216667
32	0.216667
32.4	0.2375
32.8	0.245833
33.2	0.241667
33.6	0.245833
34	0.2625
34.4	0.25
34.8	0.2625
35.2	0.245833
35.6	0.245833
36	0.25
36.4	0.245833
36.8	0.25
37.2	0.245833
37.6	0.25
38	0.241667
38.4	0.245833
38.8	0.241667
39.2	0.254167
39.6	0.254167
40	0.279167
40.4	0.2875
40.8	0.308333
41.2	0.3125
41.6	0.320833
42	0.329167
42.4	0.329167
42.8	0.316667
43.2	0.358333
43.6	0.358333
44	0.375
44.4	0.3875
44.8	0.383333
45.2	0.391667
45.6	0.395833
46	0.395833
46.4	0.395833
46.8	0.404167
47.2	0.4125
47.6	0.4
48	0.416667
