#WindowWidth (s)	Efficiency
0.4	0.0541667
0.8	0.05
1.2	0.0458333
1.6	0.0541667
2	0.0583333
2.4	0.0625
2.8	0.0958333
3.2	0.1
3.6	0.1
4	0.129167
4.4	0.104167
4.8	0.125
5.2	0.141667
5.6	0.141667
6	0.158333
6.4	0.1375
6.8	0.129167
7.2	0.133333
7.6	0.141667
8	0.133333
8.4	0.141667
8.8	0.154167
9.2	0.166667
9.6	0.1875
10	0.204167
10.4	0.208333
10.8	0.2125
11.2	0.220833
11.6	0.225
12	0.233333
12.4	0.233333
12.8	0.254167
13.2	0.266667
13.6	0.258333
14	0.254167
14.4	0.254167
14.8	0.25
15.2	0.283333
15.6	0.270833
16	0.279167
16.4	0.291667
16.8	0.3
17.2	0.295833
17.6	0.308333
18	0.308333
18.4	0.308333
18.8	0.3125
19.2	0.308333
19.6	0.325
20	0.325
20.4	0.3375
20.8	0.325
21.2	0.320833
21.6	0.329167
22	0.329167
22.4	0.3375
22.8	0.3375
23.2	0.333333
23.6	0.329167
24	0.325
24.4	0.3375
24.8	0.329167
25.2	0.35
25.6	0.333333
26	0.341667
26.4	0.333333
26.8	0.35
27.2	0.3625
27.6	0.366667
28	0.358333
28.4	0.3625
28.8	0.3625
29.2	0.366667
29.6	0.3875
30	0.383333
30.4	0.379167
30.8	0.383333
31.2	0.391667
31.6	0.4125
32	0.4125
32.4	0.4125
32.8	0.4125
33.2	0.408333
33.6	0.395833
34	0.4
34.4	0.395833
34.8	0.4
35.2	0.395833
35.6	0.391667
36	0.3875
36.4	0.383333
36.8	0.395833
37.2	0.395833
37.6	0.383333
38	0.383333
38.4	0.366667
38.8	0.370833
39.2	0.3625
39.6	0.366667
40	0.354167
40.4	0.358333
40.8	0.341667
41.2	0.333333
41.6	0.329167
42	0.345833
42.4	0.3375
42.8	0.354167
43.2	0.358333
43.6	0.3625
44	0.370833
44.4	0.3625
44.8	0.379167
45.2	0.3625
45.6	0.358333
46	0.391667
46.4	0.370833
46.8	0.3875
47.2	0.3875
47.6	0.4
48	0.416667
