#WindowWidth (s)	Efficiency
0.4	0.0916667
0.8	0.0666667
1.2	0.0708333
1.6	0.0833333
2	0.0958333
2.4	0.1125
2.8	0.125
3.2	0.116667
3.6	0.125
4	0.145833
4.4	0.120833
4.8	0.1375
5.2	0.120833
5.6	0.141667
6	0.141667
6.4	0.154167
6.8	0.166667
7.2	0.179167
7.6	0.191667
8	0.191667
8.4	0.2
8.8	0.2
9.2	0.2
9.6	0.191667
10	0.2125
10.4	0.208333
10.8	0.229167
11.2	0.220833
11.6	0.25
12	0.2375
12.4	0.266667
12.8	0.258333
13.2	0.283333
13.6	0.291667
14	0.295833
14.4	0.3125
14.8	0.295833
15.2	0.295833
15.6	0.320833
16	0.3375
16.4	0.345833
16.8	0.345833
17.2	0.358333
17.6	0.370833
18	0.383333
18.4	0.391667
18.8	0.404167
19.2	0.4125
19.6	0.429167
20	0.441667
20.4	0.4375
20.8	0.445833
21.2	0.454167
21.6	0.466667
22	0.475
22.4	0.491667
22.8	0.508333
23.2	0.533333
23.6	0.554167
24	0.5625
24.4	0.5625
24.8	0.570833
25.2	0.575
25.6	0.595833
26	0.595833
26.4	0.608333
26.8	0.616667
27.2	0.633333
27.6	0.633333
28	0.641667
28.4	0.641667
28.8	0.65
29.2	0.6625
29.6	0.675
30	0.6875
30.4	0.708333
30.8	0.708333
31.2	0.729167
31.6	0.741667
32	0.745833
32.4	0.754167
32.8	0.745833
33.2	0.758333
33.6	0.7625
34	0.766667
34.4	0.770833
34.8	0.770833
35.2	0.7875
35.6	0.791667
36	0.791667
36.4	0.795833
36.8	0.8
37.2	0.8
37.6	0.804167
38	0.808333
38.4	0.808333
38.8	0.808333
39.2	0.8125
39.6	0.8125
40	0.820833
40.4	0.820833
40.8	0.825
41.2	0.825
41.6	0.829167
42	0.829167
42.4	0.833333
42.8	0.833333
43.2	0.845833
43.6	0.841667
44	0.854167
44.4	0.858333
44.8	0.85
45.2	0.854167
45.6	0.854167
46	0.854167
46.4	0.854167
46.8	0.854167
47.2	0.854167
47.6	0.858333
48	0.858333
