#WindowWidth (s)	Efficiency
0.4	0.0625
0.8	0.0875
1.2	0.104167
1.6	0.0916667
2	0.116667
2.4	0.116667
2.8	0.129167
3.2	0.108333
3.6	0.120833
4	0.133333
4.4	0.133333
4.8	0.154167
5.2	0.166667
5.6	0.1625
6	0.175
6.4	0.170833
6.8	0.2
7.2	0.208333
7.6	0.204167
8	0.220833
8.4	0.220833
8.8	0.220833
9.2	0.216667
9.6	0.233333
10	0.25
10.4	0.241667
10.8	0.2375
11.2	0.2375
11.6	0.220833
12	0.229167
12.4	0.229167
12.8	0.233333
13.2	0.216667
13.6	0.216667
14	0.229167
14.4	0.225
14.8	0.233333
15.2	0.25
15.6	0.241667
16	0.233333
16.4	0.241667
16.8	0.245833
17.2	0.2375
17.6	0.245833
18	0.233333
18.4	0.245833
18.8	0.241667
19.2	0.229167
19.6	0.233333
20	0.229167
20.4	0.229167
20.8	0.220833
21.2	0.208333
21.6	0.208333
22	0.216667
22.4	0.208333
22.8	0.208333
23.2	0.225
23.6	0.229167
24	0.229167
24.4	0.25
24.8	0.2625
25.2	0.254167
25.6	0.275
26	0.283333
26.4	0.283333
26.8	0.295833
27.2	0.291667
27.6	0.283333
28	0.295833
28.4	0.291667
28.8	0.283333
29.2	0.2875
29.6	0.275
30	0.283333
30.4	0.279167
30.8	0.270833
31.2	0.258333
31.6	0.2625
32	0.266667
32.4	0.275
32.8	0.258333
33.2	0.279167
33.6	0.291667
34	0.3125
34.4	0.316667
34.8	0.341667
35.2	0.341667
35.6	0.3625
36	0.345833
36.4	0.358333
36.8	0.3625
37.2	0.366667
37.6	0.375
38	0.379167
38.4	0.375
38.8	0.379167
39.2	0.379167
39.6	0.408333
40	0.425
40.4	0.429167
40.8	0.429167
41.2	0.433333
41.6	0.416667
42	0.404167
42.4	0.4
42.8	0.395833
43.2	0.383333
43.6	0.379167
44	0.391667
44.4	0.395833
44.8	0.383333
45.2	0.391667
45.6	0.391667
46	0.3875
46.4	0.4
46.8	0.404167
47.2	0.416667
47.6	0.425
48	0.4375
