#WindowWidth (s)	Efficiency
0.4	0.0958333
0.8	0.0833333
1.2	0.0958333
1.6	0.116667
2	0.141667
2.4	0.1375
2.8	0.175
3.2	0.179167
3.6	0.2125
4	0.208333
4.4	0.216667
4.8	0.25
5.2	0.266667
5.6	0.283333
6	0.3
6.4	0.308333
6.8	0.316667
7.2	0.333333
7.6	0.329167
8	0.333333
8.4	0.329167
8.8	0.341667
9.2	0.35
9.6	0.3625
10	0.3625
10.4	0.375
10.8	0.379167
11.2	0.404167
11.6	0.4125
12	0.4375
12.4	0.45
12.8	0.470833
13.2	0.429167
13.6	0.454167
14	0.441667
14.4	0.458333
14.8	0.4375
15.2	0.458333
15.6	0.4625
16	0.45
16.4	0.458333
16.8	0.445833
17.2	0.45
17.6	0.458333
18	0.4625
18.4	0.454167
18.8	0.466667
19.2	0.479167
19.6	0.491667
20	0.495833
20.4	0.529167
20.8	0.525
21.2	0.554167
21.6	0.5625
22	0.583333
22.4	0.579167
22.8	0.579167
23.2	0.575
23.6	0.575
24	0.583333
24.4	0.583333
24.8	0.595833
25.2	0.591667
25.6	0.6
26	0.5875
26.4	0.608333
26.8	0.579167
27.2	0.5875
27.6	0.6125
28	0.616667
28.4	0.625
28.8	0.629167
29.2	0.616667
29.6	0.641667
30	0.666667
30.4	0.679167
30.8	0.695833
31.2	0.683333
31.6	0.691667
32	0.704167
32.4	0.704167
32.8	0.7
33.2	0.7
33.6	0.7
34	0.708333
34.4	0.708333
34.8	0.720833
35.2	0.725
35.6	0.729167
36	0.725
36.4	0.733333
36.8	0.745833
37.2	0.745833
37.6	0.7375
38	0.75
38.4	0.745833
38.8	0.754167
39.2	0.758333
39.6	0.770833
40	0.770833
40.4	0.795833
40.8	0.7875
41.2	0.8125
41.6	0.8125
42	0.833333
42.4	0.829167
42.8	0.841667
43.2	0.825
43.6	0.829167
44	0.825
44.4	0.85
44.8	0.841667
45.2	0.85
45.6	0.858333
46	0.8625
46.4	0.866667
46.8	0.866667
47.2	0.8875
47.6	0.8875
48	0.8875
