#WindowWidth (s)	Efficiency
0.4	0.154167
0.8	0.208333
1.2	0.229167
1.6	0.25
2	0.291667
2.4	0.320833
2.8	0.358333
3.2	0.354167
3.6	0.404167
4	0.4
4.4	0.441667
4.8	0.45
5.2	0.470833
5.6	0.508333
6	0.533333
6.4	0.55
6.8	0.583333
7.2	0.6
7.6	0.5875
8	0.579167
8.4	0.583333
8.8	0.604167
9.2	0.608333
9.6	0.616667
10	0.604167
10.4	0.641667
10.8	0.6375
11.2	0.65
11.6	0.658333
12	0.641667
12.4	0.658333
12.8	0.658333
13.2	0.675
13.6	0.666667
14	0.679167
14.4	0.695833
14.8	0.691667
15.2	0.7125
15.6	0.716667
16	0.720833
16.4	0.725
16.8	0.733333
17.2	0.733333
17.6	0.7375
18	0.75
18.4	0.741667
18.8	0.741667
19.2	0.745833
19.6	0.741667
20	0.733333
20.4	0.725
20.8	0.716667
21.2	0.720833
21.6	0.725
22	0.725
22.4	0.729167
22.8	0.741667
23.2	0.745833
23.6	0.75
24	0.754167
24.4	0.758333
24.8	0.758333
25.2	0.7625
25.6	0.758333
26	0.758333
26.4	0.758333
26.8	0.7625
27.2	0.7625
27.6	0.758333
28	0.766667
28.4	0.7625
28.8	0.766667
29.2	0.775
29.6	0.775
30	0.775
30.4	0.775
30.8	0.7875
31.2	0.7875
31.6	0.791667
32	0.791667
32.4	0.795833
32.8	0.791667
33.2	0.791667
33.6	0.791667
34	0.8
34.4	0.791667
34.8	0.804167
35.2	0.808333
35.6	0.808333
36	0.816667
36.4	0.816667
36.8	0.820833
37.2	0.829167
37.6	0.825
38	0.829167
38.4	0.825
38.8	0.825
39.2	0.820833
39.6	0.829167
40	0.833333
40.4	0.8375
40.8	0.845833
41.2	0.841667
41.6	0.845833
42	0.858333
42.4	0.8625
42.8	0.8625
43.2	0.866667
43.6	0.870833
44	0.866667
44.4	0.870833
44.8	0.870833
45.2	0.866667
45.6	0.858333
46	0.870833
46.4	0.875
46.8	0.883333
47.2	0.879167
47.6	0.883333
48	0.891667
