#WindowWidth (s)	Efficiency
0.4	0.0875
0.8	0.0791667
1.2	0.0625
1.6	0.0666667
2	0.0875
2.4	0.0833333
2.8	0.0916667
3.2	0.104167
3.6	0.125
4	0.120833
4.4	0.133333
4.8	0.133333
5.2	0.15
5.6	0.15
6	0.170833
6.4	0.170833
6.8	0.2
7.2	0.195833
7.6	0.208333
8	0.195833
8.4	0.2
8.8	0.2125
9.2	0.208333
9.6	0.216667
10	0.229167
10.4	0.233333
10.8	0.2375
11.2	0.233333
11.6	0.254167
12	0.2375
12.4	0.254167
12.8	0.25
13.2	0.245833
13.6	0.258333
14	0.258333
14.4	0.266667
14.8	0.266667
15.2	0.283333
15.6	0.295833
16	0.3125
16.4	0.316667
16.8	0.333333
17.2	0.354167
17.6	0.358333
18	0.358333
18.4	0.3625
18.8	0.3625
19.2	0.366667
19.6	0.366667
20	0.366667
20.4	0.383333
20.8	0.383333
21.2	0.383333
21.6	0.391667
22	0.395833
22.4	0.395833
22.8	0.391667
23.2	0.383333
23.6	0.3875
24	0.383333
24.4	0.375
24.8	0.375
25.2	0.379167
25.6	0.379167
26	0.383333
26.4	0.383333
26.8	0.391667
27.2	0.379167
27.6	0.395833
28	0.391667
28.4	0.408333
28.8	0.4
29.2	0.404167
29.6	0.4
30	0.4
30.4	0.395833
30.8	0.420833
31.2	0.404167
31.6	0.416667
32	0.408333
32.4	0.420833
32.8	0.404167
33.2	0.408333
33.6	0.404167
34	0.395833
34.4	0.395833
34.8	0.391667
35.2	0.3875
35.6	0.3875
36	0.391667
36.4	0.3875
36.8	0.404167
37.2	0.4125
37.6	0.416667
38	0.416667
38.4	0.420833
38.8	0.416667
39.2	0.416667
39.6	0.429167
40	0.429167
40.4	0.429167
40.8	0.425
41.2	0.429167
41.6	0.433333
42	0.4375
42.4	0.4375
42.8	0.420833
43.2	0.429167
43.6	0.420833
44	0.416667
44.4	0.416667
44.8	0.408333
45.2	0.408333
45.6	0.408333
46	0.404167
46.4	0.395833
46.8	0.4
47.2	0.4
47.6	0.404167
48	0.404167
