#WindowWidth (s)	Efficiency
0.4	0.0666667
0.8	0.0916667
1.2	0.1125
1.6	0.104167
2	0.104167
2.4	0.104167
2.8	0.104167
3.2	0.120833
3.6	0.154167
4	0.175
4.4	0.170833
4.8	0.195833
5.2	0.195833
5.6	0.225
6	0.25
6.4	0.266667
6.8	0.270833
7.2	0.295833
7.6	0.320833
8	0.325
8.4	0.333333
8.8	0.35
9.2	0.341667
9.6	0.354167
10	0.354167
10.4	0.3625
10.8	0.370833
11.2	0.379167
11.6	0.379167
12	0.4
12.4	0.395833
12.8	0.416667
13.2	0.425
13.6	0.429167
14	0.445833
14.4	0.458333
14.8	0.4625
15.2	0.4625
15.6	0.479167
16	0.479167
16.4	0.483333
16.8	0.4875
17.2	0.5
17.6	0.516667
18	0.529167
18.4	0.525
18.8	0.5375
19.2	0.5375
19.6	0.5375
20	0.55
20.4	0.575
20.8	0.575
21.2	0.591667
21.6	0.591667
22	0.608333
22.4	0.608333
22.8	0.629167
23.2	0.645833
23.6	0.666667
24	0.6625
24.4	0.6625
24.8	0.675
25.2	0.675
25.6	0.679167
26	0.7
26.4	0.679167
26.8	0.683333
27.2	0.708333
27.6	0.7125
28	0.7125
28.4	0.704167
28.8	0.716667
29.2	0.733333
29.6	0.7375
30	0.75
30.4	0.75
30.8	0.758333
31.2	0.7625
31.6	0.7625
32	0.770833
32.4	0.7625
32.8	0.7625
33.2	0.7625
33.6	0.754167
34	0.7625
34.4	0.7625
34.8	0.754167
35.2	0.754167
35.6	0.754167
36	0.758333
36.4	0.7625
36.8	0.766667
37.2	0.7625
37.6	0.775
38	0.766667
38.4	0.7625
38.8	0.7625
39.2	0.766667
39.6	0.770833
40	0.783333
40.4	0.7875
40.8	0.791667
41.2	0.7875
41.6	0.791667
42	0.783333
42.4	0.795833
42.8	0.8
43.2	0.804167
43.6	0.8
44	0.8125
44.4	0.816667
44.8	0.829167
45.2	0.8125
45.6	0.833333
46	0.829167
46.4	0.825
46.8	0.825
47.2	0.8375
47.6	0.829167
48	0.841667
