#WindowWidth (s)	Efficiency
0.4	0.0583333
0.8	0.116667
1.2	0.0833333
1.6	0.075
2	0.0833333
2.4	0.0708333
2.8	0.0625
3.2	0.0583333
3.6	0.0625
4	0.0625
4.4	0.0708333
4.8	0.075
5.2	0.075
5.6	0.0875
6	0.0875
6.4	0.108333
6.8	0.1
7.2	0.120833
7.6	0.129167
8	0.129167
8.4	0.1375
8.8	0.15
9.2	0.154167
9.6	0.141667
10	0.154167
10.4	0.145833
10.8	0.158333
11.2	0.154167
11.6	0.166667
12	0.1625
12.4	0.183333
12.8	0.195833
13.2	0.204167
13.6	0.2
14	0.1875
14.4	0.195833
14.8	0.204167
15.2	0.2
15.6	0.208333
16	0.216667
16.4	0.220833
16.8	0.216667
17.2	0.2125
17.6	0.208333
18	0.2125
18.4	0.216667
18.8	0.216667
19.2	0.2125
19.6	0.229167
20	0.229167
20.4	0.241667
20.8	0.241667
21.2	0.254167
21.6	0.245833
22	0.254167
22.4	0.254167
22.8	0.254167
23.2	0.2625
23.6	0.2625
24	0.245833
24.4	0.2625
24.8	0.2625
25.2	0.266667
25.6	0.266667
26	0.2625
26.4	0.270833
26.8	0.270833
27.2	0.2875
27.6	0.295833
28	0.3125
28.4	0.308333
28.8	0.325
29.2	0.354167
29.6	0.354167
30	0.366667
30.4	0.370833
30.8	0.375
31.2	0.379167
31.6	0.395833
32	0.395833
32.4	0.4
32.8	0.395833
33.2	0.404167
33.6	0.4
34	0.408333
34.4	0.4125
34.8	0.420833
35.2	0.420833
35.6	0.441667
36	0.433333
36.4	0.4375
36.8	0.429167
37.2	0.445833
37.6	0.425
38	0.433333
38.4	0.429167
38.8	0.441667
39.2	0.433333
39.6	0.4375
40	0.445833
40.4	0.441667
40.8	0.441667
41.2	0.441667
41.6	0.4375
42	0.445833
42.4	0.4375
42.8	0.45
43.2	0.4375
43.6	0.445833
44	0.4375
44.4	0.445833
44.8	0.45
45.2	0.458333
45.6	0.458333
46	0.454167
46.4	0.458333
46.8	0.4625
47.2	0.466667
47.6	0.470833
48	0.479167
