#WindowWidth (s)	Efficiency
0.4	0.0833333
0.8	0.0916667
1.2	0.125
1.6	0.125
2	0.1375
2.4	0.1625
2.8	0.170833
3.2	0.183333
3.6	0.220833
4	0.241667
4.4	0.266667
4.8	0.275
5.2	0.295833
5.6	0.283333
6	0.3
6.4	0.3
6.8	0.283333
7.2	0.283333
7.6	0.3
8	0.3
8.4	0.308333
8.8	0.316667
9.2	0.3375
9.6	0.358333
10	0.3625
10.4	0.383333
10.8	0.391667
11.2	0.404167
11.6	0.4
12	0.4
12.4	0.4125
12.8	0.420833
13.2	0.4
13.6	0.404167
14	0.4
14.4	0.395833
14.8	0.395833
15.2	0.4
15.6	0.4
16	0.404167
16.4	0.395833
16.8	0.408333
17.2	0.420833
17.6	0.425
18	0.445833
18.4	0.454167
18.8	0.470833
19.2	0.483333
19.6	0.504167
20	0.525
20.4	0.533333
20.8	0.55
21.2	0.541667
21.6	0.558333
22	0.554167
22.4	0.558333
22.8	0.558333
23.2	0.554167
23.6	0.570833
24	0.579167
24.4	0.5875
24.8	0.5875
25.2	0.579167
25.6	0.6
26	0.6125
26.4	0.616667
26.8	0.616667
27.2	0.6125
27.6	0.6125
28	0.616667
28.4	0.620833
28.8	0.616667
29.2	0.629167
29.6	0.641667
30	0.641667
30.4	0.645833
30.8	0.645833
31.2	0.666667
31.6	0.670833
32	0.6875
32.4	0.695833
32.8	0.695833
33.2	0.7
33.6	0.7125
34	0.720833
34.4	0.716667
34.8	0.720833
35.2	0.720833
35.6	0.720833
36	0.716667
36.4	0.716667
36.8	0.716667
37.2	0.720833
37.6	0.7125
38	0.7125
38.4	0.7125
38.8	0.7125
39.2	0.7125
39.6	0.720833
40	0.716667
40.4	0.7125
40.8	0.716667
41.2	0.704167
41.6	0.704167
42	0.704167
42.4	0.6875
42.8	0.691667
43.2	0.683333
43.6	0.675
44	0.670833
44.4	0.675
44.8	0.679167
45.2	0.6875
45.6	0.6875
46	0.7
46.4	0.7
46.8	0.708333
47.2	0.695833
47.6	0.7
48	0.704167
