#WindowWidth (s)	Efficiency
0.4	0.0625
0.8	0.0583333
1.2	0.0958333
1.6	0.1
2	0.133333
2.4	0.116667
2.8	0.1375
3.2	0.125
3.6	0.120833
4	0.125
4.4	0.120833
4.8	0.1125
5.2	0.129167
5.6	0.125
6	0.133333
6.4	0.125
6.8	0.125
7.2	0.133333
7.6	0.120833
8	0.125
8.4	0.129167
8.8	0.120833
9.2	0.1375
9.6	0.125
10	0.129167
10.4	0.125
10.8	0.129167
11.2	0.1125
11.6	0.108333
12	0.116667
12.4	0.108333
12.8	0.0958333
13.2	0.108333
13.6	0.1
14	0.1125
14.4	0.1
14.8	0.116667
15.2	0.104167
15.6	0.116667
16	0.1125
16.4	0.125
16.8	0.129167
17.2	0.133333
17.6	0.129167
18	0.125
18.4	0.129167
18.8	0.125
19.2	0.120833
19.6	0.125
20	0.1125
20.4	0.116667
20.8	0.108333
21.2	0.116667
21.6	0.120833
22	0.120833
22.4	0.1125
22.8	0.108333
23.2	0.1125
23.6	0.1125
24	0.1
24.4	0.0958333
24.8	0.1
25.2	0.0958333
25.6	0.0875
26	0.0791667
26.4	0.0791667
26.8	0.0791667
27.2	0.0791667
27.6	0.0666667
28	0.0791667
28.4	0.0666667
28.8	0.0708333
29.2	0.0708333
29.6	0.075
30	0.0833333
30.4	0.0833333
30.8	0.0791667
31.2	0.0708333
31.6	0.075
32	0.0708333
32.4	0.0708333
32.8	0.0708333
33.2	0.0666667
33.6	0.0666667
34	0.0708333
34.4	0.0708333
34.8	0.0583333
35.2	0.0625
35.6	0.0666667
36	0.0666667
36.4	0.075
36.8	0.075
37.2	0.0916667
37.6	0.0875
38	0.0958333
38.4	0.0958333
38.8	0.104167
39.2	0.108333
39.6	0.116667
40	0.1125
40.4	0.120833
40.8	0.129167
41.2	0.1375
41.6	0.145833
42	0.15
42.4	0.1625
42.8	0.158333
43.2	0.158333
43.6	0.158333
44	0.145833
44.4	0.158333
44.8	0.145833
45.2	0.158333
45.6	0.145833
46	0.158333
46.4	0.145833
46.8	0.145833
47.2	0.1625
47.6	0.154167
48	0.158333
