#WindowWidth (s)	Efficiency
0.4	0.0791667
0.8	0.104167
1.2	0.116667
1.6	0.145833
2	0.15
2.4	0.15
2.8	0.158333
3.2	0.1625
3.6	0.1875
4	0.183333
4.4	0.191667
4.8	0.208333
5.2	0.208333
5.6	0.216667
6	0.2
6.4	0.2125
6.8	0.220833
7.2	0.229167
7.6	0.233333
8	0.220833
8.4	0.2125
8.8	0.204167
9.2	0.204167
9.6	0.216667
10	0.220833
10.4	0.225
10.8	0.233333
11.2	0.233333
11.6	0.245833
12	0.245833
12.4	0.258333
12.8	0.254167
13.2	0.258333
13.6	0.266667
14	0.283333
14.4	0.279167
14.8	0.291667
15.2	0.295833
15.6	0.304167
16	0.3125
16.4	0.316667
16.8	0.316667
17.2	0.329167
17.6	0.325
18	0.333333
18.4	0.329167
18.8	0.329167
19.2	0.333333
19.6	0.325
20	0.333333
20.4	0.329167
20.8	0.341667
21.2	0.354167
21.6	0.354167
22	0.358333
22.4	0.370833
22.8	0.383333
23.2	0.4125
23.6	0.395833
24	0.433333
24.4	0.429167
24.8	0.445833
25.2	0.45
25.6	0.454167
26	0.4625
26.4	0.458333
26.8	0.4625
27.2	0.4625
27.6	0.479167
28	0.491667
28.4	0.491667
28.8	0.495833
29.2	0.5
29.6	0.495833
30	0.504167
30.4	0.520833
30.8	0.5125
31.2	0.5125
31.6	0.5125
32	0.508333
32.4	0.508333
32.8	0.495833
33.2	0.495833
33.6	0.479167
34	0.495833
34.4	0.483333
34.8	0.504167
35.2	0.5125
35.6	0.5375
36	0.533333
36.4	0.566667
36.8	0.566667
37.2	0.570833
37.6	0.570833
38	0.579167
38.4	0.595833
38.8	0.604167
39.2	0.604167
39.6	0.6125
40	0.6125
40.4	0.620833
40.8	0.625
41.2	0.625
41.6	0.625
42	0.616667
42.4	0.625
42.8	0.616667
43.2	0.6375
43.6	0.641667
44	0.641667
44.4	0.65
44.8	0.654167
45.2	0.641667
45.6	0.641667
46	0.6375
46.4	0.633333
46.8	0.633333
47.2	0.6125
47.6	0.6
48	0.595833
