#WindowWidth (s)	Efficiency
0.4	0.0791667
0.8	0.075
1.2	0.0833333
1.6	0.0875
2	0.0916667
2.4	0.0916667
2.8	0.0916667
3.2	0.0916667
3.6	0.116667
4	0.0833333
4.4	0.108333
4.8	0.0958333
5.2	0.104167
5.6	0.104167
6	0.1
6.4	0.1125
6.8	0.116667
7.2	0.120833
7.6	0.133333
8	0.133333
8.4	0.133333
8.8	0.1375
9.2	0.1375
9.6	0.141667
10	0.133333
10.4	0.15
10.8	0.158333
11.2	0.166667
11.6	0.170833
12	0.179167
12.4	0.179167
12.8	0.175
13.2	0.179167
13.6	0.191667
14	0.191667
14.4	0.2
14.8	0.2
15.2	0.2125
15.6	0.204167
16	0.204167
16.4	0.208333
16.8	0.208333
17.2	0.2125
17.6	0.233333
18	0.229167
18.4	0.2375
18.8	0.245833
19.2	0.258333
19.6	0.2625
20	0.279167
20.4	0.279167
20.8	0.295833
21.2	0.3
21.6	0.320833
22	0.316667
22.4	0.325
22.8	0.333333
23.2	0.333333
23.6	0.35
24	0.358333
24.4	0.358333
24.8	0.3625
25.2	0.3625
25.6	0.354167
26	0.3625
26.4	0.354167
26.8	0.3625
27.2	0.366667
27.6	0.3625
28	0.383333
28.4	0.383333
28.8	0.395833
29.2	0.4125
29.6	0.408333
30	0.429167
30.4	0.4125
30.8	0.441667
31.2	0.425
31.6	0.445833
32	0.441667
32.4	0.4625
32.8	0.4625
33.2	0.466667
33.6	0.466667
34	0.4625
34.4	0.458333
34.8	0.454167
35.2	0.466667
35.6	0.4875
36	0.475
36.4	0.495833
36.8	0.508333
37.2	0.520833
37.6	0.529167
38	0.533333
38.4	0.545833
38.8	0.545833
39.2	0.55
39.6	0.566667
40	0.566667
40.4	0.554167
40.8	0.554167
41.2	0.55
41.6	0.55
42	0.55
42.4	0.545833
42.8	0.570833
43.2	0.583333
43.6	0.5875
44	0.591667
44.4	0.6
44.8	0.625
45.2	0.625
45.6	0.625
46	0.645833
46.4	0.6625
46.8	0.666667
47.2	0.6625
47.6	0.675
48	0.679167
